SavignaclesÉglisesLeParnet,1,Un,homé,n'ovio,,qué,dou,fis,,L'ou,,pu,jauné,dissait,,au,soun,paï,Eï,,temp,que,,io,chio,,moun,meïtre,,,,é,,qué,you,aye,,,dè,l'argen,,Eou,faou,qué,you,,pesso,m'én,anna,,et,qué,you,vezo,,d'oau,poyi,,Pertoza,votré,bé,é,dounas,mé,cho,qué,you,,dévé,ovei,,O,,moun,fis,,disset,lou,paï,coumo,tu,voudras,,,Tu,ses,,,un,meïtsan,,,,,,e,tu,,siras,puni,,Oprès,,,drubant,,,uno,tiretto,,,el,partazé,,soun,bé,et,,n'en,faguét,douas,parts,,eïgalas,,,
SavignaclesÉglisesCoulaures,1,Un,homè,n'ovio,noumà,,doux,fis,,Lou,,pû,zoounè,dichè,,o,choun,paï,Eï,,taim,què,,you,chio,,,mèïtrè,,,,et,,què,you,aïè,,,dè,l'arzain,,,Foou,què,you,,peüchè,m'ain,onnâ,,et,què,you,vézè,,doou,poyî,,Partozâ,votrè,bè,et,dounâ-,mè,cho,què,you,,dèvi,ovèï,-,O,,moun,fis,,dichè,lou,paï,coumo,tu,voudrâ,,,Tu,ché,,,un,mèïsson,,,,,,et,tu,,chirâ,puni,,Puis,,,drubont,,,un,tiroir,,,éou,partozè,,choun,bè,et,,n'ain,foguè,douâ,parts,,porièïras,,,
SavignaclesÉglisesSaintPantalydAns,1,Ün,hommei,n'oyo,nouma,,dous,fils,,Lou,,pu,zonei,dichei,,o,soun,paï,Ei,,teimps,quei,,you,chio,,moun,maîtrei,,,,et,,quei,you,ayo,,,dei,l'arzein,,,Fo,quei,you,,peusso,mein,ona,,et,quei,you,veizo,,do,poyi,,Partoza,votrei,bei,et,douna,mei,cho,quei,you,,dévi,oyei,-,Vo,,moun,fils,,dichei,lou,paï,coumo,tu,voudras,,,Tu,chés,,,un,meisson,,,,,,et,tu,,chiras,puni,,Préquo,,,drubi,,,ün,tiroir,,,éou,partozei,,soun,bei,et,,nein,foguei,douas,pourchious,,eigolas,,,
SavignaclesÉglisesSavignaclesÉglises,1,Un,omè,n'ovio,nouma,,dou,firs,,Lou,,pu,zoouné,diché,,o,choun,paï,Ei,,tin,qué,,iou,chio,,moun,méitrè,,,,è,,què,,ayo,,,dè,l'arzin,,,Foou,què,you,,pésso,min,ona,,èt,què,you,vézo,,doou,poyis,,Partoza,votré,bè,è,douna,mé,cho,què,you,,dè,ovéi,-,O,,moun,fir,,dichè,lou,paï,coumo,tu,voudras,,,Tu,ché,,,un,méisson,,,,,,è,tu,,chira,puni,,Pei opré,,,drubi,,,uno,tirèto,,,,partozè,,choun,bé,è,,nin,foguè,doua,pourchiöu,,poriéra,,,
SavignaclesÉglisesCubjac,1,Ün,omè,novio,nouma,,dou,fis,,Lou,,pu,zoounè,dissè,,o,soun,paï,Ey,,tèn,que,,,sio,,moun,meytrè,,,,è,,què,,äyè,,,dè,l'arzèn,,,Foou,què,,,péssè,mèn,ona,,è,què,,vézè,,doou,poyi,,Partoza,votrè,bè,è,douna,mè,so,què,,,dévè,ovey,-,O,,moun,fis,,dissè,lou,paï,coumo,,voudra,,,Sé,,,,ün,meysson,,,,,,è,,,sira,puni,,E,,,drubi,,,ün,tiroir,,,,partozè,,soun,bé,è,,nen,foguè,doua,poursiou,,éygola,,,
SavignaclesÉglisesSaintVincentsurlIsle,1,Un,hommé,n'ovio,,qué,dous,fils,,Lou,,pus,jaüné,disset,,à,soun,paï,Eï,,timps,,,,,,,,,,,,,qué,iou,ayo,,,dé,l'argeint,,,Faoü,qué,io,,peucho,m'en,onas,,et,qué,,véjo,,d'aü,poyi,,Partogeas,votré,bé,et,doünas,mé,ço,qué,,,dévé,oveï,-,O,,moun,fils,,disset,lou,paï,coumo,tu,voudras,,,Tu,sé,,,un,meïchont,,,,,,et,tu,,siras,puni,,Olors,,,drubit,,,ùn,tiroir,,,,partogét,,soun,bé,et,,n'in,foguet,doüas,pourtioüs,,eïgolas,,,
SavignaclesÉglisesSavignaclesÉglisesbis,1,Un,homè,novio,noumas,,dous,fis,,Lou,,pu,zoouné,diché,,o,choun,paï,Ei,,tin,què,,you,chio,,moun,méitré,,,,é,,qu',,aïo,,,dé,l'arzen,,,Foou,qué,,,peussè,min,ona,,è,què,,vézo,,doou,poïs,,Partozas,votrè,bé,è,douna,mè,cho,qué,,,dévé,oyéi,-,O,,moun,fi,,diché,lou,paï,coumo,tu,voudras,,,Tu,ché,,,un,méisson,,,,,,è,tu,,chiras,puni,,Opré,,,drubi,,,un,tiroir,,,,partozé,,choun,bé,é,,nin,fogué,doua,pourciou,,poriéra,,,
SavignaclesÉglisesLigueux,1,Un̈,hommé,n'oviot,,qué,doux,fis,,Lu,,pu,zoounet,dissait,,à,soun,paï,Ey,,tén,què,,you,siot,,moun,maÿtré,,,,et,,qué,you,ayé,,,dé,l'erzënt,,Co,faout,qué,you,,peussé,m'ën,onaï,,et,qué,you,vaÿsé,,d'aou,poyis,,Pertozas,votre,bé,et,dounas,mé,ço,qué,you,,dèvé,ovey,,Bien,,moun,fi,,dissait,lu,paï,coumo,tu,voudras,,,Tu,sé,,,un̈,meyssant,,,,,,et,tu,,siras,puni,,Puis,,,drubant,,,soun,tiroit,,,éou,pertozait,,soun,bé,et,,n'én,foyait,doua,poursioü,,eygolas,,,
SavignaclesÉglisesAntonneetTrigonant,1,U-n',homé,n'oyo,noumâ,,dôu,droléï,,Lou,,pu,dzoouné,diché,,à,choun,paï,Eï,,tin,qué,,you,chio,,moun,méïtré,,,,et,,qué,you,ayo,,,dé,l'erdzin,,,foou,qué,you,,peutso,m'in,onâ,,et,qué,,vedzo,,doou,paï,,Pertodzâ,vôtré,bé,et,dounâ,mé,cho,qué,you,,dévé,ovéï,-,Ô,,moun,drolé,,diché,lou,paï,coumo,tu,vourâ,,,tu,ché,,,un̈,méïtsin,,,,,,et,tu,,chirâ,puni,,Opré,,,drubi,,,uno,tiréto,,,éou,pertodzé,,choun,bé,et,,n'in,fogué,douâ,par,,poriérâ,,,
SavignaclesÉglisesNegrondes,1,Unn,ômé,n'ovio,,qué,doû,fî,,Lu,,pu,zöouné,diché,,o,soun,paï,Eï,,tem,qué,,you,chio,,moun,méïtré,,,,é,,qué,,yayé,,,dé,l'ergen,,Öou,föou,qué,you,,pessé,m'en,nona,,é,qué,you,véjé,,döou,poï,,Pertoza,votré,bé,é,dounâ-,mé,cho,qué,you,,dévé,ovéï,-,Vouï,,moun,fî,,diché,lu,paï,coumo,tu,voudrâ,,,Tu,ché,,,unn,méïchant,,,,,,é,tu,,chirà,puni,,Pui,,,drubi,,,uno,tiretto,,,é öou,pertozé,,soun,bé,é,,n'en,fogué,douâ,pourchïou,,éïgolâ,,,
