24-poit-1241,12,.,,,E,le,pûs,jaûne,,,,,,,,,,dissé,,,,,à,son,paire,:,,Mon,paire,,,,,,,,,,,,baillaîs,,m',,la,par,deux,,bien,,qu',i,seux,dain,l',cas,de,prétendre,,,,,,,,,,,,,,,,,e,,,l',paîre,,,,,,lour,,,,,,,,,partagé,,,son,,bien,,,,,,,,,,,.
25-limo-1246,12,.,,,Et,le,pus,jaûnè,dau,,doûe,,,,,,,dissé,,,,,à,soun,père,:,,Moun,père,",",,,,,,,,,,,donnas,,me,,ce,,,,,,que,,,,,,,,deû,,me,,,revenir,de,votre,bé,,,,,,,",",et,,,le,père,,,,,,lu,,,,,,,,,partagea,,,soü,,bé,,,,,,,,,,,.
26-poit-1241,12,.,,,Et,le,pus,jéne,,,,,,,,,,dicit,,,,,à,son,père,:,,Mon,père,",",,,,,,,,,,,baillez,,me,tout,mon,dret,de,voutre,benn,,,,,,,,,,,,,,,,,,,,,,,,,",",et,,,le,père,,,,,,leux,,,,,,,,,partagit,,tout,son,,benn,,,,,,,,,,,.
27-poit-1241,12,.,,,,Le,,deré,des,,deux,,,,,,,dissit,,,courue,ça,à,son,cher,,,,père,,,,,,,,,,de,li,partager,,,,la,goulée,de,,bin,,,,,,,,,,,,,,,,de,soun,héritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
28-poit-1241,12,.,,,,Le,plus,jeune,,,,,,,,,,dicit,,,,,à,son,père,:,,Mon,père,",",,,,,,,,,,,donnés,,me,,ma,part,du,,ben,,qne,,,,,,,,,,j',dois,,aver,,,,,,,,,,",",et,,,le,père,,,,,,,,,,fit,,,,keû,partage,,,,,,,,,,,,,,,,.
29-poit-1241,12,.,,,Don,le,pus,jenne,,,,,,,,,,dicit,,,,,à,son,père,:,,Mon,père,",",,,,,,,,,,,baillez,,me,,le,,,,benn,,qu',i,,,,,,,deus,,,,,avoirt,pre,mon,lot,,,,,,,",",et,,,i,,,,,,,leus,,,,fasit,,,,le,partage,de,,son,,benn,,,,,,,,,,,.
3-wall-1255,12,.,,,,Li,pus,jône,des,,deux,,,,,ly,,dit,,,,,,,,:,,,pêre,,,,,,,,,,,,diné,,m',,çou,,,,,,qui,,,,,,,,,,m',,,vint,,,,,,,,,,,et,vola,qu',ilz,,,,,,,,,y,,fait,,,,leu,pârteche,,,,,,,,,,,,,,,,.
30-poit-1241,12,.,,,Dou,le,pu,jeune,,,,,,,,,,dissit,,,,,à,son,pere,:,,Mon,pere,,,,,,,,,,,,baillez,,meu,,ce,,,,,,que,,,,,,,,,,je,dioui,,augere,de,voutre,bien,,,,,,,.,Et,,,le,pere,,,,,,les,,y,,,,,,,partagit,,,son,,bien,,,,,,,,,,,.
31-limo-1246,12,.,,,,Le,pu,jeune,d',entre,s'eu,,,,,,,dicit,,,,,à,son,père,:,,Mon,père,",",,,,,,,,,,,dounés,,mé,,san,,,,,,que,,,,,,,,deut,,me,,,reveni,de,voutre,bien,,,,,,,",",et,,,le,père,,,,,,le,s',y,,,,,,,partagit,,,son,,bien,,,,,,,,,,,.
32-limo-1246,12,.,,,Et,lou,pu,jauoné,dauou,,doû,,,,,,,dissé,,,,,à,soun,paï,:,,Moun,paï,",",,,,,,,,,,,baillame,,,,lo,par,daou,,bé,,qué,,,,,,,,,,me,,,rêvé,,,,,,,,,,",",et,,,lou,paï,,,,,,li,,,,,,,,,partagé,,,soun,,bé,,,,,,,,,,,.
33-limo-1246,12,.,,,Dont,lou,pû,djouné,,,,,,,,,,dicé,,,,,à,soun,pay,:,,Maoun,pay,",",,,,,,,,,,,donnés,,me,,la,part,daôu,,bé,,que,,,,,,,,,,m',ey,à,revenîr,,,,,,,,,,",",et,,,lou,pay,,,,,,tour,,,,,,,,,partadgé,,,soun,,bé,,,,,,,,,,,.
34-lang-1309,12,.,,,Doun,lou,pus,tzoïné,,,,,,,,,,diguoit,,,,,o,soun,païré,:,,Moun,païre,",",,,,,,,,,,,donna,,nié,,so,,,,,,que,,,,,,,,deou,,me,,,révéni,de,vostre,bé,,,,,,,.,Et,,,lou,païré,,,,,,lour,,,,foguet,,,,lou,portatzé,dé,,soun,,bé,,,,,,,,,,,.
35-limo-1246,12,.,,,E,lé,pus,jouné,,,,,,,,,,disset,,,,,à,soun,paîré,:,,Moun,paîré,",",,,,,,,,,,,baillà,,me,,la,porcié,dette,,bé,,qu',,,,,,,,,,i,podé,,preteindré,,,,,,,,,,,é,,,lé,païré,,,,,,lourr,,,,,,,,,partaget,,,soun,,bé,,,,,,,,,,,.
36-limo-1246,12,.,,,,Lou,pus,jauné,de,,ïis,,,,,,,disset,,,,,au,,paï,:,,,Paï,",",,,,,,,,,,,boillas,,mé,,lo,part,de,,denado,,qué,,,,,,,,,,me,,,revet,,,,,,,,,,",",et,,,au,,,,,,,,,,,,,,,,partiguet,,,su,,bésugno,entre,,ïs,,,,,,,,.
37-limo-1246,12,.,,,Doun,lou,pus,jauné,,,,,,,,,,dissé,,,,,à,soun,paï,:,,,,,,,,,,,,,,,Dounâs,,mé,,lo,part,dé,,bé,,qué,,,,,,,,,,mé,deu,,révénis,,,,,,,,,,",",et,,,lou,paï,,,,,,lour,,,,fagué,,,,lou,partagé,de,,soun,,bé,,,,,,,,,,,.
38-auve-1239,12,.,,,,Le,pu,dzone,,,,,,,,,,digue,,,,,mey,son,payre,:,,Moun,payre,",",,,,,,,,,,,beila,,me,,le,,,,be,,que,,,,,,,,,,me,guiou,,revenir,,,,,,,,,,.,,,,Le,payre,,,,,,,,,,partadze,,,,,,,,son,,bé,entre,,y,,,,,,,,.
39-lang-1309,12,.,,,,Lou,pu,ziouve,,,,,,,,li,,diguet,,,,,,,,:,,Mon,païre,,,,,,,,,,,,dounamme,,,,lo,par,del,,be,,que,,,,,,,,,,me,diou,,reveni,,,,,,,,,,;,,,,lou,païre,,,,,,lour,,,,,,,,,partexeit,,,lou,,be,,,,,,,,,,,.
4-wall-1255,12,.,,,Et,l',pu,jône,des,,deuss,,,,,,,diha,,,,,atoû,s',pere,:,,,Pere,,,,,,,,,,,,dunome,,,,lu,l',pari,do,héritegche,,qui,,,,,,,,,,m',,,vint,,,,,,,,,,.,Et,,,i,,,,,,,,,,,,,,,,parliha,,,s’,,bin,inte,l',eux,deuss,,,,,,,.
40-lang-1309,12,.,,,Dount,lou,pus,choube,,,,,,,,,,diguet,,,,,à,son,pèro,:,,Mon,pèro,,,,,,,,,,,,dounarme,,,,lou,,,,bé,,qua,,,,,,,,,,iou,dube,,obure,per,mo,part,,,,,,,;,é,,,el,,,,,,,lour,,,,fosquèt,,,,lou,partache,de,,soun,,bè,,,,,,,,,,,.
41-lang-1309,12,.,,,,Lou,pu,joube,d',,elis,,,,,,,digue,,,,,al,,paire,:,,Moun,pero,",",,,,,,,,,,,dounas,,me,,la,pourciou,de,,be,,que,,,,,,,,,,me,,,reben,,,,,,,,,,.,,,,Lou,païre,,,,,,lour,,,,,,,,,partagée,,,lou,,be,,,,,,,,,,,.
42-limo-1246,12,.,,,,Lou,pu,jeune,,,,,,,,,,dissut,,,,,à,soun,pay,:,,Moun,pay,,,,,,,,,,,,baillé,,mé,,la,pourtioun,de,boste,bien,,que,,,,,,,,,,me,,,rében,,,,,,,,,,",",et,,,,,,,,,,les,,y,,,,,,,partaget,,,soun,,bien,,,,,,,,,,,.
43-gasc-1240,12,.,,,,Lou,,caddet,,,,,,,qu',eou,,digouc,,,,,,,,:,,,Pay,,,,,,,,,,,,baillats,,me,,la,pourtioun,,,,,qui',,,,,,,,,,em,,,rebencq,s',eou,ben,,,,,,,:,é,,,lou,pay,,,,,,eous,,,,,,,,,partagée,,,lou,,ben,,,,,,,,,,,.
44-lang-1309,12,.,,,É,le,pus,jouen,d',entre,elles,,,,,,,diguec,,,,,al,,paire,:,,Moun,paire,,,,,,,,,,,,dounamme,,,,la,pourciou,de,,be,,que,,,,,,,,,,m',,,apparte,,,,,,,,,,,é,,,,,,,,,,yous,,,,dibisec,,,,,,,,le,,be,,,,,,,,,,,.
45-lang-1309,12,.,,,,El,més,joués,d',,aquéris,,,,,,,disec,,,,,à,sou,pay,:,,,Papay,!,,,,,,,,,,,baillai,,m',,éra,pourtiou,de,,be,,que,,,,,,,,,,m',,,atoco,,,,,,,,,,,et,,,sou,pay,,,,,,l',,y,ac,baillec,,,,,,,,,,,,,,,,,,,,,.
