37-limo-1246	28	.			Ce 		qué 			l’							eyant 			facha 										au 	né 	vougué 	pas 	entra 			dis 	"soù
            "	lougis 	: 	mais 								soun 	paï 					étant surti 							par 							lou 		n’en 	prégeâ										.
38-auve-1239	28	.									L’	einé 					fugue 		bian 	fatso					, 		et 				ne 	vouliô 	pas 	eintra 						; 	"mais
            "								le 	payre 					sourté					, 		et 							le 			predze 			d’			eintra				.
39-lang-1309	28	.									L’	ainat 			se 		metet 			en coulero					, 		et 					vouliet 	pas 	dintra 						":
            "									lou 	païre 					surtiguet 							per 							l’		ein 	prega										.
40-lang-1309	28	.												Oqueste d’oici 			fousquet 		ton 	indignât					, 				que 			boulio	pas 	dintra 			dins 	soun 	oustal 			ce 	que 	oublichèt 					soun 	pèro 				de 	sourti 							è 					"de
            "		lou 			préga 			de 			intra 		omb’	el	.
41-lang-1309	28	.		Aqui dessus 														lou 		despietch 			lou pren		, 		e 				nou 	boulio 	"pas
            "	dintra 						; 	de sorto que  								lou 	païre 					sourtic 							per 							ye 			parla										.
42-limo-1246	28	.		Mé 											se 		mit 			en coulère 							é 				ne 	bouléoue 	paz 	entra 						: 									soun 	"pay
            "					sourtit 							é 				coumencét 	de 		lou 			prega										.
43-gasc-1240	28	.									L’	aynat 								indignât 											non 	boulëo 	pas 	entra						, 									lou 	pay 	dounc que  				sourtiscouc					, 			el 		se 	boutée 	aou 					prega										.
44-lang-1309	28	.	El 	al countrari 												ne 	fousquec 			fachat 							é 				nou 	boulio 	"pos
            "	dintra						, 									soun 	paire 		en 			esten sourtic 	dounc 						é 				coumencet 	de 		l’			inbita										.
45-lang-1309	28	.		Or 							l’	ainat 			se 					fachèc 							et 				nou 	boulio 	pas 	entra 						; 									sou 	"pay
            "	donc 				sourtich 										se 	mettec 	à 		l’			inbita										.
46-lang-1309	28	.			Aco 					le 							mettèc 			èn coulero					, 					èl 	nou 	boulguèc 	pas 	"dintra
            "			dins 	lè 	loutgis	, 	mais 								soun 	payrè 					sourtisquèc 							per 							lè 		nè 	préga										.
47-lang-1309	28	.		Mes 							l’	ainat 					fousqueg 		fort 	fachat 							et 				non 	boulio 	"pas
            "	entra 						; 	à causo 					d’	aquo 		le 	paire 					estant sourtit 					, 					se 	met 	à 					pregua 	son fil									.
48-lang-1309	28	.		Mes 							l’	ainat 					fousqueg 		fort 	fachat 							et 				non 	boulio 	"pas
            "	entra						. 	A causo 					d’	aquo 		le 	pere 					estant sourtitse					 						met 	a 					prega 	son fil									.
51-lang-1309	28	.									Lé 	frairé ainàt 					fousquée 			endignât					, 		et 					boullio 	"pas
            "	dintra						. 	Et 								soun 	païré 					sourtisquée 							et 			sé 	mettec 	à 		lé 			prégua 			de 			dintra				.
52-lang-1309	28	.									L’	ainat			se 		mettet 			en coulero 							et 					boulio 	pas 	intra 			"dins
            "	l’	oustaou 		mé 								soun 	païré 					sourtiguet 							et 							lou 			preguet 			d’							.
54-lang-1309	28	.									L’	aïnat 	apprenen aco , 		se 		metet 			en couliero					, 		et 					"boulié
            "	pas 	dintra 			dins 	l’	oustal 	; 	mes 								soun 	païré 					estan sortit 								el mêmes per 						l’		en 	préga										.
55-lang-1309	28	.		Mè 											si 		meteguét 			en coulero 							é 					vouguét 		intra 	pas 					: 									"soun
            "	pero 	dounc 				sourtiguét 							é 							lou 			prèguét 			d’			intra				.
56-lang-1309	28	.												Aquesté 			seguet 		talamen 	indignat 									qué 			vouyé 	pas 	intra 			"din
            "	l’	oustaou	. 		Cé 	qué 	oubliget 					son 	pèra 				de 	sourti 							é 					dé 		lou 								faire 	intra 		enb	el	.
57-auve-1239	28	.		Ma 	quo 					lou 							fatchet 										et 	se 				voulio 	pas 	saca 						; 	ma 								"soun
            "	païre 					sourtiguet 							per 							l’		en 	priar										.
