64-prov-1235,11,.,,,,,,,,,,,Un,,,home,,avié,dous,,,,garçouns,.
65-viva-1235,11,.,,,,,,,,,,,Un,,,houmé,,avi,doux,,,,enfans,.
66-viva-1235,11,.,,,,,,,,,,,Un,,,homé,,avi,dous,,,,garçouns,.
67-viva-1235,11,.,,,,,,,,,,,Un,,certén,home,,avié,dons,,,,énfans,.
68-viva-1235,11,.,,,,,,,,,,,Un,,,hommet,,aguet,dous,,,,garçons,.
69-viva-1235,11,.,,,Ero,,,,,,,,ùn,,,homme,qu',ovio,doux,,,,éfons,.
7-camb-1242,11,.,,,,,,,,,,,Inn,,,hom,,avau,deux,,,,fius,.
70-viva-1235,11,.,,,,,,,,,,,Un,,sartem,homme,,aïe,dous,,,,garçons,.
71-fran-1269,11,.,,,,,,,,,,,On,n',,omo,,aveive,don,,,,meniots,","
72-fran-1269,11,.,,,,,,,,,,,On,,,omou,l',avei,dou,,,,valè,.
73-fran-1270,11,.,,,,,,,,,,,Enn,,,home,,avîe,do,,,,bouebes,.
74-stan-1289,11,.,,,,,,,,,,,Un,,,home,,ténia,dos,,,,fills,
75-fran-1270,11,.,,,,,,,,,,,On,,,ommo,,avai,dous,,,,valets,","
76-viva-1235,11,.,,,,,,,,,,,On,,,omo,,avai,dou,,,,garçons,.
77-viva-1235,11,.,,,,,,,,,,,Un,,,hommë,,avie,dons,,,,ënfans,.
78-roma-1326,11,.,,,,,,,,,,,Un,,,hom,,havaiva,duos,,,,filgs,.
79-roma-1326,11,.,,,,,,,,,,,Un,,tschert,ômm,,veva,duus,,,,filgs,.
8-arto-1238,11,.,,,,,,,,,,,Ain,,,homme,,avouait,deeux,,,,garchéons,.
80-lang-1309,11,.,,,,,,,,,,,Un,,,omë,,avié,dous,,,,éfans,.
81-fran-1269,11,.,,,,,,,,,,,On,,,ommo,li’,u,don,,,,fe,.
82-poit-1241,11,.,Oll',y,avait,,,,,in',fet,",",in',,,houme,qui,avait,deux,,,,faill,.
83-prov-1235,11,.,,,,,,,,,,,Un,,,hom’,,avié,dous,,,,enfans,.
84-norm-1245,11,.,,,,,,,,,,,Un,,,homme,,avait,deux,,,,éfans,;
85-prov-1235,11,.,,,,,,,,,,,Un,,,homo,,avié,dous,,,,enfans,.
86-prov-1235,11,.,,,,,,,,,,,Un,,,homou,,aveva,doui,,,,fanti,.
87-high-1290,11,.,,,,,,,,,,,Ain,,,home,,aive,do,,,,fils,.
88-fran-1270,11,.,,,,,,,,,,,In,,,baume,,avait,doux,,,,fés,.
89-fran-1270,11,.,,,,,,,,,,,In,,,home,,ayant,doux,,,,fés,","
90-fran-1270,11,.,,,,,,,,,,,In,,,home,,avait,doux,,,,fès,.
9-arto-1238,11,.,,,,,,,,,,,Un,,,Homme,,avo,deux,,,,fiu,.
