31-limo-1246	15	.		I							s’allugnit	don			,	et					se logit	dans			un				home	dou		payi				"que
            "		l’envoyit	à	son	mayne									per			gardé			les	porcs	.					
32-limo-1246	15	.		Aüou  prenyé							Lou parti	doun									d’Intra	châ	per lou servi		un			"daüou
            "	habitans	dauou		paï				Ke ou ki		l’envouyé	à	sa	"meishou de campagne
            "									per			garda			loü	por	.					
33-limo-1246	15	.		Alors oôu							se retiré		De quel endré			et					Sé meté		"vêlé
            "	tchais	un				homé	de	queou	pays		,		que		l’envoyé	à	sa	meytaderio									per		y	"gardais
            "			doôu	ports	.					
34-lang-1309	15	.									S’en onguait	doun				et					s’estoquait	ol	servici	d’	un			"déous
            "	hobitans	del		poïs				qué		l’envouyoit	din	so	moïou dé compagno									per		y	gorda			"lus
            "	téchous	.					
35-limo-1246	15	.		Hu							décampé					é					sé metté		vàlé	châ	eun				bourgeâis	dé	"queue
            "	pay		,		qué		l’ainvoyét	din	sa						campagne				per			garda			loûë	porr	.					
36-limo-1246	15	.		Au							s’en onet					et					Se luget	à		d’	un				citoyen	de	queû	poïs		"et
            "				Lou renvouyet	dis	so	meitodorio												gardas			sous	pors	.					
37-limo-1246	15	.		Alors		eu					S’en ané					et					Se bouté	au	servicé	d’	un			"daus
            "	abitans	dau		pays				que		l’envouyé	à	sa	maigeau daus champs									par		y	gardas			"lous
            "	gagnoux	.					
38-auve-1239	15	.	Et								sé né										ludza			tsa	ein				home	d’	aque	pay				que		Lé n'yvouyé	guien	sa	baurio												garda			laou	coussou	.					
39-lang-1309	15	.		Heil preinguet							loun portit	doun		de							Se m’tre	ol	"Service
            "	d’	un				bourgis	d’	oquel	poys				que		l’einbouet	o	so						compogno				per			gorda			leis	porcs	.					
40-lang-1309	15	.		Que			fousquèt oublichat de														s’estoca			o	un				ouome	del’		endrech		,		que		l’embouxèt	dins	sa	bouorio									per		y	gorda			"lous
            "	pouorcs	.					
41-lang-1309	15	.		Anguec																	se louga			amb’	un				bourges	d’	aquel	païs				"que
            "		l’embouyec	a	sa	bordo									per			garda			lous	tessous	.					
42-limo-1246	15	.									Partit					é				s'en'angut	Se boutât	aou	serbice	d’	un				"home
            "	d’	aquet	peïs		;et				l’embiét	à	sa	meytadrie									pri			garda			dos	gourrets	.					
43-gasc-1240	15	.		Que							s’en anec				,	è					s'estaquec			a	un				home	d’	aquet	païs		:	aqueste	que		l’enbouyec	à	sa	maysoun de campagno												ouyata			lous	porcs	.					
44-lang-1309	15	.	É								s’en anec					é					s'estaquec			à	un				cilouyen	d’	aquel	païs		"é
            "	aqueste			l'embouyec	à	sa	bordo									per			garda			’s	porcs	.					
45-lang-1309	15	.	Et								s’en anec					et					se louguec			à	un			des	habitans	d'	"aquech
            "	pays		;et	v			l’enbouyec	en		iobordo									per			guarda			es	porcs	.					
46-lang-1309	15	.	El								s’èn anguèc	dounc				et					sè mèttèc	al	sèrbici	d’	un			"dès
            "	habitans	dèl		pays		,		què		l’èmbouyèc	à	soun	oustal de campagno									per		y	garda			"lès
            "	porcs	.					
47-lang-1309	15	.	Et								s’en aneg					et					se douneg			à	un				habitant	d’	aquel	"pais
            "				que		l’enbouyeg	dins	una	siba borda									per		y	garda			les	porcs	.					
48-lang-1309	15	.	Et								s’en aneget										Se douneg			à	un				habitant	d’	aquel	pais				"que
            "		l'enbouyeg	dins	una	siba borda									per		y	garda			les	porcs	.					
49-cata-1291	15	.	Y								fugi					,y					se eslaca			à	un				ciudadano	de	aquel	païs		,		"que
            "		Lo envia	en	sa	heretat									per			porquer					.					
51-lang-1309	15	.	Et								s’én anéc										ouffri	sous	serbicis	à	un				"proupriétari
            "	d’	aquél	pays				qué		l’enbouyéc	à	sa	borio									per			garda	Un troupél dé			porcs	.					
52-lang-1309	15	.		Alors							s’én anet					st					se louguet			a	un			des	habitans	d’	aquel	païs				que		Lou mandet	à	sa	grangeo									per		y	garda			lous	poucels	.					
53-lang-1309	15	.									S’en anet					et					se louguet			amb’	un				bourgés	d’	aquel	païs				"que
            "		l’embouyet	à	sa	boria									per			garda			tous	porcs	.					
54-lang-1309	15	.		Talomen qu’							anet										se louga			à	un				habitant	del	même	païs		,		que		l’enboujet	a	sa	borio									per		y	garda			lous	porcs	.					
55-lang-1309	15	.		Alors							s’en anét					é					si mèteguét	al	servissé	d’	un			"des
            "	abitans	d’	aquel	peïs				che		lou mandét	din	sas	poussessions									per					faïré païssé	"tous
            "	pouors	.					
56-lang-1309	15	.		Qué			séguet oubligat dé														sé métré	aou	sérvicé	enco	"dun
            "				habitan	dé	l’	entrez				que		l'envouyet	à	sa	ferma									per			garda			tous	por	.					
57-auve-1239	15	.		Adounque							s’en anet										se ludget			vez	un				bourdgeouas							"que
            "		lou mandet	à	sa	bouorio									per			garda			lous	pouors	.					
58-viva-1235	15	.		Talomen qu’			Fugo countrou dé														sé louïa			vès	un				chebencié	de	l’	endrei				qué		leu métè	dins	uno de ses	grongeos									pour			"sounia
            "			tous	caïous	.					
59-viva-1235	15	.	O								s’ein allait	don				et					se mettait	ein	service	vez	un				homme	de	l’	eindré				que		lou mandait	diein	sa	maison de campagne									per			garda			"lous
            "	cayoux	.					
60-prov-1235	15	.									S’en ané	doun				et	fughé				se louga		enco	d’	un				habitan	"daou
            "		péïs		,		que		lou mandé	à	soun	mas									per			garda			lei	por	.					
61-prov-1235	15	.		Alor																	se mëtëghé	âou	servicë	d’	un			dës	habitans	"daou
            "		pëis		,		qé		lou mandé	a	sa	granjho									për			garda			tous	pors	.					
62-prov-1235	15	.		Alors							s’en anet					et					si mettet	oou	servici	d’	un			"deis
            "	habilans	d’oou		pays				que		lou mandet	à	sa	bastido									per			gardar			seis	pouarcs	.					
