33-limo-1246	32	.	Mais 			oou 			foulio 					bé 					fais 				fêto	, 	et 			nous 	redjoouvi 			perço que  		toun 	fray 	que 				veyqui	, 				éro 	mort 			et 		oou 				, 			oou 			éro 	perdu 		et 				"oou
            "			ey retrouba			.
34-lang-1309	32	.	Mais 						collio 										fa 				festin 		et 			nus 	retzouï		, 	persoqué 		"vostré
            "	fraïré 	qu’es 				oqui 					éro 	mor 			et 				es réssuscitat		, 						éro 	perdut 		et 							es trouvat			.
35-limo-1246	32	.	Mâ 						faûllio 					bé 					fairé 				bounbanço	, 	ni mais 	bien 		s’	amusa		";
            "	perço qué 		vautré 	fraîré 										êro 	morr		, 			v’é 		ressuscitê 		: 	perço qué 		v’			êro 	perdu 		é 							v’é retroubê   			.
36-limo-1246	32	.							Faut 											"beuré, minjas
"				, 				t’	eybandis		, 	percé qué 		toun 	"fraï
            "	qu’									eiro 	mort 					eï 		révicoula		,	au 					eiro 	perdut 		et 				aû 			eïrétrouba			.
37-limo-1246	32	.	Mas 			aû 			foulio 					bé 					fa 		un 		festin 		et 			noû 	réjauvis		, 	parcé-qué		votré 	frai 	qué 				veiqui 					érô 	mor 			et 		au 		ei ressuscita		, 	au 					éro 	perdu 		et 				au 			"ei rétrouba
            "			.
38-auve-1239	32	.	Ma 			nous 			fouillô 										fayre 			bouno 	tsare 		et 			nous 	eicarbilla		",
            "	parce que 		votre 	frayre 	z’									ero 	mouo 			et 		ïau z’		ei rechucheto		, 			ïau 	z’		ero 	pardu 		"et
            "				ïau 			z’ei retroubo			.
39-lang-1309	32	.	Mais 						se cauïo 						reziouï 	et 			fa 				festo 								; 	pertaou que		"toun
            "	fraïre 										ero 	mor 			et 				es ressuscitat		, 						ero 	perdut 		et 							es trouvat			.
40-lang-1309	32	.	Mès 						colio 					be 					faire 		uno 		festo 		è 			nous 	rechouï 			"porceque
            "		bouostré 	frèro 	qu’									èro 	mouort 							es ressussitat		, 	qu’					èro 	perdut 		et 	que 					s’	és retroubat			.
41-lang-1309	32	.	Mès 						counvenio 				de 	be 	rojouï 	e 			fa 				festin 									de ço que		"toun
            "	frero 	qu’									ero 	mort 							es ressussitât		, 	qu’					ero 	perdut 		et 	qu’						es retroubat			.
42-limo-1246	32	.	Mé 						faléoue 										eze 				ribote 		é 			se 	rejouï 			percequé 		toun 	"fray
            "	qu’		es 	achiou 						ere 	mort 			et 				és ressuscitât 		; 							perdut 		é 							es retroubat			.
43-gasc-1240	32	.	Mes 					be 	caléoüo 										hé 				hésto 		et 			s’	arregaougi 			quand 		toun 	"fray
            "										ey 		tournât de mort 							en bito	, 									é 						s’	ey tournât trouba 	après 	s’este esgarat	.
44-lang-1309	32	.	Més 					be 	calio 						se regala 										é 			se 	rejoui 			dés qu’	aqueste 	"tiou
            "	fraire 										éro 	mort 			é 	qu’			es ressussitat 		; 	que 			s’		ero 	perdut 		é 	que 					s’	es troubat			.
45-lang-1309	32	.							Calio 		donc 								hè 				festin 		et 			se 	rejoui		, 	qûsqu’	aqueste 	"tou
            "	fray 										ero 	mort 			et 	qu’			é ressussitach 		; 						ero 	perduch 		et 						s’	é trouvach			.
46-lang-1309	32	.	Mais 						caillo 										fa 		un 		festin 		et 			nous 	réjoui 			perço què		bostré 	frayrè 										ero 	mort 			et 		èl 		ès ressuscitât		, 			èl 			èro 	perdut 		et 							ès estât retroubat      			.
47-lang-1309	32	.							Calio 		donc 								fe 				festo 		et 			se 	rejouir		, 	pramos que 	aquel 	"tou
            "	fraire 										ero 	mort 			et 				es ressucitat		, 						ero 	perdut 		et 						s’	es torubat			.
48-lang-1309	32	.							Calio 		donc 								fe 				festo 		et 			se 	rejouir		, 	pramos que 	aquel 	"tou
            "	fraire 										ero 	mort 			et 				es ressuscitât		, 						ero 	perdut 		et 						s’	es troubat			.
51-lang-1309	32	.							Caillo 		donne 								fairé 				festo								, 	parcé qué		tou 	frairé 										éro 	"mort
            "			et 				es resçussitat		, 						ero 	égarât 		et 					l’		aben rétroubat			.
52-lang-1309	32	.	Me	, 					caillo 					bé 					faire 				festo	, 	et 			se 	deberti 			parce que 		"toun
            "	fraïré 										ero 	mort 			et 	qu’			és ressuscitat		, 						ero 	perdut 		et 						s’	és troubat			.
54-lang-1309	32	.	Més 						calié 					be 					faire 				festin 		at 			se 	rejouï 			de co qué 		"toun
            "	fraïré 	qu’									éro 	mort 							es ressuscitat 											et 	que 				l’		aben retroubat 	aprep 	l’abé perdut 	.
55-lang-1309	32	.	Mè 						calio 					bè 					faïrè 		un 		rèpas 		é 			si 	rejouï 			parçochè 		"toun
            "	frero 	qu’		es 	acqui 						éro 	mort 			é 				ès ressuscitât		, 						éro 	perdut 		és 							es rètroubat			.
56-lang-1309	32	.	Mais 						fayet 										faire 			festa 			é 			nous 	réjoui		, 	perçéqué																																										
57-auve-1239	32	.	Ma 						tzoulio 					be 					faire 		un 		repas 		et 			nous 	"redzoudzir
            "			parceque 		toun 	fraïre 	que 	ve d’arriba 								ere 	mort		, 	é 				es tourna viou 		; 				s’		ere 	"perdiu
            "		et 						s’	es tourna trouba			.
58-viva-1235	32	.							Cholio			, pos men, 							faire 				festo 		é 			se 	diverti		, 	"perceque
            "				qu’									éro 	mouor 		’					és revengu 		; 	que			s’		éro 	chobit 		é 	que 					s’	"és rétrouba  
           "			.
59-viva-1235	32	.	Mais 						fouliot 						nous regala										et 			nous 	ebodir 			parceque 		"toun
            "	fréire 										eiré 	mor 			et 		o 	le 	ressuscita 					o 	l’		eiré 	pardu 		et 				ol’			é retrouva			.
60-prov-1235	32	.	Més 						fouyé 					ben 	se régala 	et 			faïre 				festo								, 	parce qué 		"voste
            "	fréro 										éro 	mor 			et 				és ressuscitat		, 						éro 	perdu 		et 							és			
