21-fran-1270	17	. 		Enfin 													aitant 		rentréi 				en 	lu 		marne 										ai 	l’		ai dit																									: 												Combé 				n’y        	ai	-t'-ai 		pas 		dans 	lai 	mason 	de 	mon 	pere 					de 		vauleu 				gaigé 																									qu’		en 	put 		de 	pain 						qu’	ai 	"ne
            "	le 		en 		faut									, 	et 	mo 			y 					ceu 	ici 		ai 	meuri 			de 	faim				.
22-fran-1270	17	. 		Enfin 													aitant 		rentra 				en 	lu 		même 												se 	diset 																									: 												combin 				"y
            "	ait 	u 				dans 	lai 	moêson 	de 	mon 	père 					de 		sarviteurs 			ai 	gages													, 												qu’		on 	plus 		de 	pain 						que 		"ne
            "	leur 		en 		faut 										et 	moi 			y 					seu 	ei 		ai 	meri 			de 	faim				.
23-bour-1247	17	. 		Quant o vié celai 						, 	o 								rentré 				an 	soi 		moime 								et 		o 			dié																									: 	"ô
            "											comben 				y 	ait’	o														de 		valots 													céz 	mon 		père 													qu’		ont 			du 	pain 		pu 				qu’	o 	n’			an 		peureint mezer										et 	moi 									ichi 		y 	creuve 			lai 	faim 				!
24-poit-1241	17	. 		A la fin						, 			s’				étant 		corrigea 					li 		mêime							, 					eux 	dissé 																									: 												Camb’				y'-	o	-ko 				soû 	las 	mans 	de 	mon 	paire 					de 		journaliê 																													qu’		avan 			deux 	pan 		mêis 				qu’	on 	ne 	"lourr
            "		en 		faut 							pandan 	qu’						i 					seux 	ki 			anrajant 			la 	fan				.
25-limo-1246	17	. 		Enfin 													étant 		rentra 				en 	lui	-	même							, 	ou 				se 	dissé 																									: 												Combé 				"y
            "	oco 					dans 	la 	maison 	de 	moun 	pere 					de 		valei 																													qu’		on 	meis 		de 	pain 						que 			leur 		en 		fôs 										et 	mi 			"y
            "					sais 	ki 		à 	mouri 			de 	fam 				!
26-poit-1241	17	. 		A la fin 							i 								revenit 				à 	li 										et 		i 			dicit 																									:												qu’				ol y 	at 															de 		"valet
            "													cheux 	mon 		père 													qui 		avant 	méz 		de 	pain 						qu’	o	ne 	leuz 		en 		faut 										et 	moi 			je 					seus 	"itchi
            "		à 	crever 			de 	faim				.
28-poit-1241	17	. 		Enfin 													étant 		retourné 				en 	li	-	même 										y 		s’	dicit																									: 												"Ouilla
            "																				force 		valets 													chez 	mon 		père 													qui 		avant 	mès 		de 	pain 						qu’	ou 	ne 	leur 		en 		faû 										et 				j’					sens 	iqui		à 	mouri 			de 	faim 				!
29-poit-1241	17	. 		Enfin 							il 								songit 	in petit 			en 	li 		mesme							; 			il 			dicit 																									: 												Combenn				y 	a'-t'-i		 			dans 	le 	logis 	de 	mon 	père 					dans 		valet 																													chy 		avant 			dau 	pain 				"à réfection 
            "																			et 	moi 			je 									mourre 		ichy 	de 	faim				.
30-poit-1241	17	. 		Enfen 													eytan 		rentré 				en 	ly 		mayme							, 			y 			dissit																									: 												Combien 				y 	a tou  															de 		valet 									dan 	la 	mayson 		de 	mon 		pere	, 												qu’		avan 			dau 	peu 				en abondance																		, 	et 	moué 			"je
            "									moure 		ici 	de 	faing				.
31-limo-1246	17	. 		Enfin 													étan 		revingut 				en 	ly	-	même							, 			i 			dicit																									: 												Combien 					gnat ou          			pas	, 	dans 	la 	maison 	de 	mon 	père 					de 		valet 																													qu’		avan			d’ou	pagn 		mê 				qu’	i 	n’			an 		pedan mangé 										et 	moué 			je 									moure 		ici 	"de
            "	fagn				.
32-limo-1246	17	. 		A la fi													eitan 		rantra 				en 	se 		mémo 										aü			ou dissé 																									: 												"combé
            "				y'-	a	-co				din 	la 	maishoù 	de 	moun 	paï 					de 		valeï 																													qu’		on 			douau 	po 				en aboundanço 																"tan
            "	que 						you 									meuré 			de 	fam 				?
33-limo-1246	17	. 		"À la fi 
"													étant 		rentra 				en 	se 		même 													oou dicé 																									: 												Combé 				y 	"o
            "	quo 														de 		vêleys 									din 	la 	meydjou 		de 	moun 		pay 													qu’		ant 			doou 	po 				en abondanço																		, 	et 	mé 			"ye
            "									meuré 		ici 	de 	fom				’.
