17-fran-1270	13	.												Quaiques 						joues 					aprét 									lo 			pu 	junë 								ayant 			ramessa 			tôt 	"ce
            "	qu’			al 		ava				, 														patehi 	a son arradans 				 																																in 		payis 							bain 	éloignié 			ou 													a mingea 				to 		ce 	qu’al	 ava			an 		vivant 		"
            "							dans 	la 	débâche																					.
18-fran-1270	13	.												In peu 				de 		tems 					apré				, 					lo 			pu 	jûne 								ayant 		tôt 	raméssa 																												"pachi
            "																																			po 		in 		païs 							bin 	éloignie 					al 			y 								mingie 				tot 		son 		bin 			en 		vicant 									dans 	la 	débauché																					.
19-fran-1270	13	.												Quelques 						jous 					etpré 		étant réunis		, 					ce 				jeune 				guechon 																																"se
            "			metteut 		en 	routte 																																pô 		in 		pays 				bie 	loin	, 	bie 	loin 	! 	quand el y feût 	et 													dapenseut 				"to
            "		ce 	qu’el	 evoit 			en 		vivant 																									evot 	des 	quoquines					.
20-fran-1270	13	.												Po 											èprée 									lou 			pu 	jeune 											ampoutiant 	d’èveu 	lù 	to 	ce 	qu’			"èl
            "		èvoi				, 																										s’	en 					èlèt 	voyaigie 																dans 		lâs 		pèiy 							bin 	loin 	, 				lei 					où 	ç’qu’					dapansi 				tou 		son 		"bin
            "														en 		dabôcheries																					.
21-fran-1270	13	.												Queque 						jos 					après				, 					le 				jeune 	de 	ces 	deux 	enfans	",
            "						raimassai 			tau 	ce 	qu’			el 		aivo				, 								et 																		s’	en 					allai 																	en 		ein 		paii 	d’		aitreinge			, 	bé 	loin	",
            "		là 		vous 			 								ai dissipai 						son 		bien		, 	en 					gormandises 		et 				en 		daibauches																					.
22-fran-1270	13	.												Peu				de		jou 					aipre 									lou 			pû 	juene 	de 	cas 	clou 	offants 				"aiyanc
            "			raimassa 			tout 	ç’	qui 					Taira 																														s 	en					ollait 																	dans 		un 		pays 			aitrangie			, 	bin 	loin	, 				ou 			"y
            "								dissipet 				tout 		son 		bin 														en 		daibauches																					.
23-bour-1247	13	.												Peuçot 				de 		zors 					aiprès				, 					le 			pei 	moime 	de 	sas 		flots 			qu’	"aivot
            "			aissaré 			tout 	ce 	qu’			ol 		aivot 															s’	an 		feu 																																ben 	loin 		an 		ein 		pays 			etranzé						, 				lai 					voù 	qu’		"o
            "							tout 							en 	se 	libartinant																																.
24-poit-1241	13	.												Kâkaîs 						jourre 					apreis																		, 	quante 	v’agué 				ramassa 			tout 	ko 	"ke
            "			li 		revente				, 	le 		pûs 	jaune 																						s’	an 					angué 																	dain-t-		in 		pay 			etrangiê 										ant-								eux 			fricassé 				"tout
            "		son 		bien 			en 		menant 						la 		vie 							d’	un 	chéti 															.
25-limo-1246	13	.												Peu 				de 		jiours 					après				, 					kian 				jieun 				houmé	, 			ayant 			"amassa
            "			tout 	ce 	qu’			ioû 	avet 	resôgu				, 														surte 					de 			la 	maïson 	, 	et 	s	en					engaï 																	dins 		un 		pays 							"fort
            "	éloigna 					unie 					ou 						dissipé 				tout 		son 		bé 			ein 		menam 						une 		vie 			débautchzhade																					.
26-poit-1241	13	.												Queuques 						jour 	en 				après				, 					le 			pus 	jéne 	de 	tchélés 	"deux
            "	enfans 							amassit 			tout 	le 						sen 												et 	puis 	i 																s’	en					allit 																	dan 		in 		pays 							bin 	leugné	, 		et 		"là
            "			i 								mangit 				tout 		son 		benn 														en 		débauches																					.
27-poit-1241	13	.								Et 	aussi tôt qui l’ 																								odyit 	son 	drét			, 	le 	senfouiyit 	do 	"de
            "	près 	de 	son 	père 																							et 		le 																s’	en					andgil 																	dans 		uin 		poyis 							rede 	loin	, 									vour 			qui 			"derama
            "						son 		avoir 			en 		coumerçant 																									avec 	des 	criatures					.
28-poit-1241	13	.												Quauque 						teins 					après 									le 			plus 	jeune 	de 	kélès 	deux 	enfans	",
            "			ayant 			amassé 			tout 	ce 	qu’			au l’		avait				, 											s’	an 		alit 					de 			la 	maison 	,	et 	s’	an 					fit 																	dans 		"un
            "		pays 							ben 	elougné 										on te 			y 			dissipit 				tout 		son 		ben 			en 	se 	divartissant																																.
29-poit-1241	13	.												Queuque 						jour 					après 									le 			pus 	jenne 											emportit 	avecques 	"li
            "	tout 	ce 	qu’			il 		avoit				, 																										s’	en 					engit 	voyager 																en 		in 		pays 							be 	leung 										où 			il 			dépensit 				tout 		"son
            "		benn 														en 		débauche																					.
30-poit-1241	13	.												Quauque 						tan 					après				, 					le 			pu 	jeune 											amassit 			tou 	ce 	qu’			"il
            "		avet				, 																										se 	n’					anguit 																	dan 		un 		pays 							bien 	louen	, 									onte 			y 			mangit 						son 		bien 														en 		deybauche																					.
31-limo-1246	13	. 												Petit 				de 		joure 					après				, 					le 			pu 	jeune 				ménage	, 			ayan 			"amayné
            "			tout 	soun 						avouére				,														partissit 											pr’							allé 																	dan 		un 		payi 							fort 	allugné	, 									onte 			i 			decipit 						"son
            "		bien 			en 		vivan 									dan 	la 	débauche																					.
32-limo-1246	13	. 												Paüou 				de 		jour 					après 									kéoü 				jaoün 				omé 				ayant 			massa 			tou 	"ce
            "	qu’			au 	avio 	reçu				, 														sorté 					de 			la 	meisbou 		et 	s’	en 					ané 																	dint-		t-un 		païs 							for 	eïlougna 					"inte
            "					auou 						dissipe 				tout 		soun 		bé 			en 		menam 						uno 		vito 			deïbauchado																					.
33-limo-1246	13	. 												Quaouque 						djours 					après				, 					lou 			pu 	djoouné 	de 	qui 	doux 	"éfans
            "				ayant 			rassembla 			tout 	quo 	qu’				oôu 	vio				, 																										sén 						ané 	vouïadgeais 																din 		lun 		pays 							fort 	"eylougna
            "					enté 					oou 						dissipé 				tout 		soun 		bé 														en 		deybooutchês																					.
34-lang-1309	13	. 												Paou 				dé 		tzours 					oprès				, 					lou 			pus 	tzoïné 	d’	oqués 	dous 	"efons
            "							omossait 			tout 	se 	qu’					ovio				, 																									et 	s’	en 					onguet 																	dins 		un 		pois 			estronzier 				fort 	élouognat	, 									oun 						dissipait 				tout 		soun 		bé 			en 					excès 		et 				en 		débaoutsos																					.
35-limo-1246	13	. 												Quauquaîs 						jourr 					aprey				, 	quan 				v’agué															asseinblèt 			touquo 		que 							li 	revenio 	, 	le 		pûs 	jouné 																						s’	ein 					annet 																	dint 		eun 		pay 							bien 	louein	, 				aint 					hu 						fricassét 				tou 		soun 		bé 			ein 		ménan 						la 		vito 							d’	eun 	chetî 	et 	d’	eun 	fumélié											.
36-limo-1246	13	. 								Et 				pau 				de 		temps 					après 									lou 			pûs 	jauné 				drolé	, 	aprèsvei 					assembla 				sous 						omis				, 																										s’	en 					onet 																	dis 		lou 		poïs 			étrangers						, 		et 		aqui 					"aù
            "						minget 		so 	dénado 	tout 							en 		vivent 									en 		déssolu																					.
37-limo-1246	13	. 												Paü 				de 		jours 					après 									lou 			pus 	jauné 	d’	aquis 		éfans	, 			"ayant
            "			amassa 			tout 	cé 	qué 			au 		aviô																														s’	en 					ané 	vouyageas 																dis 		un 		pays 							fort 	élougna 					enté 					"au
            "						dissipé 				tout 		soun 		bé 			en 					éxcés 		et 				en 		débauchoas																					.
38-auve-1239	13	. 												Paou 				de 		dzours 					après 					que 												garçon 							prengué 			tout 	ce 	"que
            "			z’		aio 																													et 	sén 	né 					guien 																			l’	eitrandze 	pays									, 		et 		ïau 								ley 			mandze 						son 		bé 			en 		fairé 																"le
            "	bandi															.
39-lang-1309	13	. 								Et 				paou 				de 		jiours 					oprès 					quond 																auguet 		tout 	osseimblat															lou 		pe 	ziouve 										portiguet 					per 				ona 																										dins 		un 		poys 											et 										ly 			dissipet 						soun 		be 			"ein
            "		bivein 									din 	lo 	debauxio																					.
40-lang-1309	13	. 												Qualque 						chours 					oprès 									lou 			pus 	choube 											prenguen 	omb’	"el
            "	tout 	ce 	qu’					obio				, 																										s’	en 					ouet 	bouyocha 																dins 		un 		poys 								elouègnat 										oun 						despenset 				tout 		"soun
            "		be 														en 		debaouchos																					.
