33-limo-1246	24	. 		Parce que 						moun 		fis 		que 		veyqui			, 			éro 	mort 		et 						oôu 	"ey
            "		ressuscita		; 			oou 		éro 	perdu 		et 					oou 		ey 	retrouba	. 					Y 		coumenceren						donné 	à 	"fayré
            "		bouno 	tchêro 		et 		à 	sé 			deyverti			.
34-lang-1309	24	. 		Persoqué 						moun 		fil 		qu’	és 		oqui 					éro 	mor	, 	et 							es 		ressuscitât		, 					éro 	perdut 		et 							es 	trouvât	. 							Coumencéroun 						doun 	o 	fa 			festin											.
35-limo-1246	24	. 		Car 						moun 		efan 										éro 	morr	, 	et 							v’é 		ressuscité		: 				v’	airo 	perdu 		et 					v’		é 	retroubé	. 					Y 	sé 	"metétein
            "						don 	à 	fairé 			bounbanço											.
36-limo-1246	24	. 		Car 						moun 		drolé 		k’	ei 		ki 					ero 	mort 		et 						o 	ei 		révicoula		, 			"aû
            "	sé 		perdio 		et 					au 		ei 	rétrouba	, 	et 				ïs 		coummencerent 															à 	s’			eibandis			.
37-limo-1246	24	. 		Parcé qué 						moun 		fis 		que 		veiqui 						érô 	mort 		et 						au 	"ey
            "		ressuscita		, 			au 		érô 	perdu 		et 					au 		ey 	rétroubà	. 					Y 		coumencèrent						doun 	à 	fâs 		"grandô
            "	cherô 		et 		à 	sé 			réjauvis			.
39-lang-1309	24	. 		Pertaou que						moun 		fil 										ero 	mor 		et 							es 		ressuscitât 		; 					"ero
            "	perdut 		et 							es 	trouvât 		et 					se 	meteron 							ein 				festo											.
40-lang-1309	24	. 		Perça que 		besez 	oici 			moun 		fil 								qu’		ero 	mouort 		è 							"es
            "		ressussitat 		; 			el 		ero 	perdut 		è 							ès 	retroubat 	; 	è 														fosquerou 		grondo 	chèro											.
41-lang-1309	24	. 		Car 			aqui 			moun 		fil 								qu’		ero 	mort 									es 		ressussilat		, 					"ero
            "	perdut 		e 							es 	retroubat 	; 	e 						coumencegon 							à 	fa 			festin											.
42-limo-1246	24	. 		Perceque 						moun 		gouyat 		qu’	ès 		achiou 					ère 	mort 		é 							"es
            "		ressuscita		, 					ère 	perdut 		é 							es 	retroubat 		é 						coumencéren 															à 	se 			regala			.
43-gasc-1240	24	. 		Pramou que 						moun 		hil 			ey 			tournât de					mort 												en bito	, 		"que
            "		s’	ero 	esgarat 		é 				que 	l’		ey 	tournat trouba 		é 															la 		hesto 		que									
44-lang-1309	24	. 		Par ce qu’					aqueste 	miou 		fill 										éro 	mort 		é 		qu’					es 		ressussitat 						s’	éro 	perdut 		é 						s’	es 	troubat 		é 						coumenseguen 															de 	se 			regala			.
