id,mot,latitude,longitude
SarlatLaRoqueGageac,tzoïné,44.8255441,1.1834985
SarlatBeynac,tzoïné,44.8457209062434,1.14505112299666
CarluxPeyrillac,tzoïné,44.886549,1.4083846
CarluxMillac,tzoïné,44.9026913231767,1.40439134627505
CarluxAillac,tzoïné,44.8836690645989,1.35311875812209
CarluxPratsdeCarlux,tzoïné,44.9047823,1.3143779
MontignacValojoulx,tzoïné,45.0192157,1.1432954
MontignacMontignac,tzoïné,45.0631458711918,1.15546614119843
BuissondeCadouinAllessurDordogne,tzoïné,,
EymetFonroque,tzoïné,44.7014165,0.4177933
IssigeacFaux,tzoïné,44.788847,0.641226
BergeracSaintGermainetMons,tzoïné,44.8441,0.59387
ExcideuilSaintGermaindesPres,jonei,45.3419501,0.9912891
HautefortSainteEulaliedAns,jonei,,
ExcideuilSaintMesmin,zooüné,45.352683,1.2052684
LanouaillePayzac,zooüné,45.4016667,1.2186111
ExcideuilGenis,zaonè,45.3259904,1.1624565
ExcideuilExcideuil,joüné,45.337548197067,1.0486302572322
MontagrierGrandBrassac,joüné,45.2942699,0.4786542
ExcideuilExcideuilbis,joùne,45.3399614598898,1.04905941066804
SaintPierredeChignacMilhacdAuberoche,zoôuné,,
SaintPierredeChignacSaintGeyrac,jouiné,45.08746,0.914
MonpazierSaintMarcory,jouiné,44.72304,0.93256
SaintPierredeChignacBlisetBorn,zoaûnè,45.1820511,0.9076695
SaintPierredeChignacAtur,jooüné,45.1413842,0.7486027
SaintPierredeChignacNotreDamedeSanilhac,joouné,45.1216105,0.7156878
HautefortTourtoirac,joouné,45.2716148,1.0583436
BrantômeBussac,joouné,45.2727953330928,0.607665854282268
LaForceSaintGery,joouné,44.983023,0.324265
VillefranchedeLonchatCarsacdeGurson,joouné,44.9474308,0.091145
VillefranchedeLonchatVillefranchedeLonchat,joouné,44.9491667,0.0580556
VerteillacBourgdesMaisons,joouné,45.3379134,0.4356072
RiberacSaintMartindeRiberacbis,joouné,45.2364055605655,0.362250324465947
MontagrierSaintVictor,joouné,45.26311,0.43801
NeuvicSaintAndredeDouble,joouné,45.1466247,0.3186475
NeuvicBeauronne,joouné,45.0950649687741,0.380631971265774
MareuilSaintSulpicedeMareuil,joouné,45.4683333,0.5075
ThiviersSaintPierredeCôle,joouné,45.37066,0.7922
SaintPierredeChignacLaDouze,jouinè,45.0614511,0.8629891
SaintPierredeChignacBoulazac,joné,45.1801801,0.7691334
VillefranchedeLonchatSaintMartindeGurson,joné,44.9526021,0.1076912
RiberacSaintSulpicedeRoumagnac,joné,45.2049868,0.3938947
MontponSaintMartialdArtenset,joné,,
MareuilChampeaux,joné,45.4739713538859,0.578233236454749
VergtLacropte,dzoueïné,45.03633,0.83079
VergtCreyssensacetPissot,tzoouné,45.07884,0.66132
TerrassonLavilledieuPeyrignac,tzoouné,45.1574825630669,1.19206539417888
NeuvicNeuvic,tzoouné,45.1006366,0.469149
ChampagnacdeBelairSaintPancrace,tzoouné,45.4280332,0.6651169
LanouailleSarrazac,tzoouné,45.4372591315935,1.03198040852364
VergtSaintMicheldeVilladeix,joïné,44.9857254,0.7219503
VergtSaintMaimedePereyrol,joïné,45.0145321,0.6472144
SaintAstierJaure,joïné,45.0563545,0.5538534
ThenonAzerat,joïné,45.1499525,1.1227156
MontignacPlazac,joïné,45.0352048,1.0396967
BuissondeCadouinBouillac,joïné,,
BuissondeCadouinBadefolssurDordogne,joïné,,
BuissondeCadouinCales,joïné,,
LalindeSaintCapraisedeLalinde,joïné,44.8430556,0.6544444
VillamblardIssac,joïné,45.01476,0.45064
VillamblardÉgliseNeuvedIssac,joïné,,
VillamblardSaintJeandEyraud,joïné,,
LaForceLeFleix,joïné,44.8745753,0.2431468
LaForceMonfauconSud,joïné,44.899493,0.261038
LaForcePrigonrieuxbis,joïné,44.8612244161131,0.407835997708933
LaForceBosset,joïné,44.9512,0.3554304
IssigeacConnedeLabarde,joïné,44.7797584,0.5534887
BergeracMouleydier,joïné,44.85493,0.59467
BergeracBergeracbis,joïné,44.8590593596918,0.490216577133671
BergeracBergeracSainteMadeleine,joïné,44.846764,0.482191
SigoulesThenac,joïné,44.7503824626603,0.33968424052633
SigoulesMonestier,joïné,44.7730905,0.3285026
VillefranchedeLonchatSaintGerauddeCorps,joïné,44.9520717,0.2268816
SainteAlvereGrandCastang,joïné,44.9013987,0.755573
SainteAlverePezuls,joïné,44.91335,0.80639
SainteAlvereSainteFoydeLongas,joïné,44.9252291,0.7512326
SainteAlvereSainteAlvere,joïné,44.9461247,0.811125
SainteAlvereSainteAlverebis,joïné,44.9521796202166,0.813091546531767
VelinesPortSainteFoy,joïné,44.8439926800704,0.194905768865137
VerteillacGoutRossignol,joïné,45.4141667,0.385
SaintAulayeServanches,joïné,45.1442152,0.1571148
VergtSaintAmanddeVergt,jouïné,44.9868,0.6969
VillefrancheduPerigordLoubejac,jouïné,44.5934155,1.087872
BelvesLoubejac,jouïné,44.5934155,1.087871
SarlatMarcillac,jouïné,44.9627292610842,1.19651138676891
IssigeacMontaut,jouïné,44.74751,0.6258
VergtVeyrinesdeVergt,soïné,45.0032801,0.7711022
BeaumontduPerigordMontferrandduPerigord,soïné,44.75059,0.86582
VergtÉgliseNeuvedeVergt,joyné,45.08298,0.73108
TerrassonLavilledieuCondatsurVezere,joyné,45.11924,1.23644
BelvesSainteFoydeBelves,joyné,44.7339,1.0345
BuissondeCadouinPaleyrac,joyné,,
LaForceLaForce,joyné,44.867138,0.375212
BergeracLembras,joyné,44.88396,0.52247
SigoulesCuneges,joyné,44.7790984,0.3717439
SainteAlvereSaintLaurentdesBâtons,joyné,44.9594487,0.7385086
SainteAlvereLimeuil,joyné,44.8834900439442,0.890254352545184
VergtVergt,zouéïné,45.0256456434893,0.719162298705411
VergtFouleix,joueiné,44.98466,0.68049
VergtChalagnac,dzouné,45.09176,0.67604
JumilhacleGrandSaintPaullaRoche,dzouné,45.4777414,0.9988587
VergtBreuilh,zouynè,45.0576209440928,0.757030011570386
SaintAstierSaintLeonsurlIsle,zoynè,45.1168801,0.497873
VillamblardSaintJeandEstissac,zoynè,,
SigoulesRouffignacdeSigoules,zoynè,44.7818242,0.4499898
SaintAstierLaChapelleGonaguet,zôounè,45.2309431,0.6125317
SaintPardouxlaRiviereMialet,zôounè,45.550518,0.9045666
SaintAstierMontanceix,jonnè,45.150118,0.5744989
SaintAstierMontrem,zoïenè,45.1342846,0.5899533
SaintAstierCoursac,dzoneï,45.1297222,0.6394444
HautefortHautefort,djoné,45.2594367,1.146062
NontronNontronter,djoné,45.5319762046864,0.671703824547233
NontronJaverlhac,djoné,45.5694607,0.561207
NontronSavignacdeNontron,djoné,45.5419914,0.7224473
HautefortNailhac,zonnè,45.2266913,1.1531811
HautefortBadefolsdAns,zéouné,,
SalignacEyviguesArchignacbis,zéouné,45.0182282049233,1.31663333447699
SalignacEyviguesEyvigues,zéouné,44.9353541,1.3623749
TerrassonLavilledieuChavagnac,zéouné,45.0893470360968,1.37423896197272
TerrassonLavilledieuPazayac,zéouné,45.1214406,1.3788083
TerrassonLavilledieuTerrasson,zéouné,45.12725558020806,1.3055338304557402
CarluxOrliaguet,zéouné,44.91218,1.36538
MontignacAubas,zéouné,45.08148,1.19009
HautefortGrangesdAns,zoou né,,
BrantômeLislebis,jônnè,45.2876753686096,0.555848178032731
BrantômeAgonac,joounè,45.29233,0.74936
ThenonSainteOrse,joounè,45.2028136,1.075663
RiberacSaintPardouxdeDrône,joounè,45.2253579,0.4210264
RiberacVilletoureix,joounè,45.2635099,0.3640631
RiberacSaintMartindeRiberac,joounè,45.2297691,0.3586599
MussidanSaintMartinlAstier,joounè,,
MareuilSaintCrepindeRichemont,joounè,45.4194444,0.6013889
BrantômeSencenacPuydeFourches,joénè,45.3070727,0.6636417
BrantômeSaintJuliendeBourdeilles,jo-auné,45.35974,0.5888994
BrantômeBrantôme,zôné,45.3646685345461,0.646728929012852
ThenonAjat,zôné,45.15597,1.01583
RiberacComberancheetÉpeluche,zôné,45.2726296,0.2871798
RiberacAllemans,zôné,45.2864902,0.3084206
MareuilPuyrenier,zôné,45.47832,0.4729
BrantômeValeuil,jaonè,45.3328734,0.6170398
BrantômeBiras,zauône,45.28735,0.63853
BrantômeLisle,piti,45.2787444,0.5481384
ThenonLimeyrat,tjeouné,45.15983,0.98004
ThenonGabillou,jāōūnē,45.20584,1.03444
ThenonFossemagne,zonet,45.12659,0.98506
ThiviersEyzerac,zonet,45.3883953,0.9203253
ThenonBars,djoinè,45.0999478,1.0633322
ThenonThenon,djoïnè,45.1378376616607,1.07047080856153
SalignacEyviguesPaulin,tzeouné,45.002690965089,1.34631999362469
SalignacEyviguesBorreze,zéounè,44.95394,1.38826
SalignacEyviguesArchignac,géouné,45.01044,1.31173
SalignacEyviguesSaintCrepinetCarlucetbis,tzéïné,44.966515395375,1.28282766358529
SalignacEyviguesSaintGenies,jéoüné,44.9942738360716,1.24841230725656
ChampagnacdeBelairQuinsac,jéoüné,45.4287117,0.7046508
SalignacEyviguesSaintCrepinetCarlucet,zène,44.9605184,1.2731243
VillefrancheduPerigordPratsduPerigord,zouiné,44.69123,1.06629
EymetSaintCapraisedEymet,zouiné,,
BeaumontduPerigordNojalsetClotte,zouiné,44.7253774,0.7576591
BeaumontduPerigordRampieux,zouiné,44.71411,0.79647
VillefrancheduPerigordLavaur,tzouyné,44.6129697,1.0230515
DommeGaumier,tzouyné,44.7265856,1.263541
MonpazierMarsales,tzouyné,44.68791,0.88461
MonpazierVergtdeBiron,tzouyné,44.63303,0.84126
MonpazierMonpazierbis,tzouyné,44.6860274501969,0.902288922592308
MonpazierMonpazier,tzouyné,44.67998,0.89374
VillefrancheduPerigordVillefrancheduPerigord,tso͞uyné,44.6303093,1.0797301
VillefrancheduPerigordCampagnaclesQuercy,tzouïné,44.6944254,1.1739057
BeaumontduPerigordSainteCroix,tzouïné,44.73702,0.82615
VillefrancheduPerigordFontenillesdAigueparse,jouyné,,
MonpazierSaintRomaindeMonpazier,jouyné,44.71734,0.86961
EymetSainteEulaliedEymet,jouyné,,
IssigeacSaintLeondIssigeac,jouyné,,
IssigeacIssigeacbis,jouyné,44.7393769731246,0.611900117498417
SigoulesRibagnac,jouyné,44.765811,0.4976479
MontponLePizou,jouyné,45.0244607173397,0.0625624506693708
VillefrancheduPerigordSaintCernindelHerm,tchouiné,44.64023,1.03398
SaintCyprienAllaslesMines,tzoyné,44.8339933,1.0729999
SaintCyprienSaintCyprien,tzoyné,44.8693315,1.0461817
SaintCyprienBerbiguieres,tzoyné,44.834,1.04239
BugueManaurie,tzoyné,,
BugueLeBugue,tzoyné,,
BugueMauzensetMiremont,tzoyné,,
BelvesSaintGermaindeBelves,tzoyné,44.8046359,1.0484739
DommeLaChapellePechaud,tzoyné,44.7801296,1.1140854
DommeVeyrinesdeDomme,tzoyné,44.7946503,1.1056628
SarlatVitrac,tzoyné,44.8289164,1.2257288
SarlatSaintVincentlePaluel,tzoyné,44.8918983,1.2862753
SarlatMarquay,tzoyné,44.9434,1.1338208
SarlatLaCaneda,tzoyné,44.8577434,1.238213
CarluxCalviacenPerigord,tzoyné,44.8548251,1.333307
CarluxSimeyrols,tzoyné,44.9081887,1.3397368
CarluxCazoules,tzoyné,44.882745,1.4326328
MontignacSergeac,tzoyné,45.002885,1.1066281
SaintCyprienTursac,zouïné,44.9686567406825,1.04593402725884
SigoulesGardonne,zouïné,44.8361742,0.3296012
SaintCyprienMarnac,tchoïné,44.8359971,1.0262753
SaintCyprienSaintVincentdeCosse,tchoïné,44.8419053,1.1187406
SaintCyprienBezenac,soyné,44.84294,1.09018
DommeSaintMartialdeNabirat,soyné,44.7438871,1.259358
VillamblardLaveyssiere,soyné,44.9312360646656,0.433656917241841
BeaumontduPerigordLabouquerie,soyné,44.74201,0.79538
BeaumontduPerigordSaintAvitSenieur,soyné,44.774419,0.819202
SaintCyprienTayac,dzoïné,44.8653747,1.3339595
BugueSaintCernindeReillac,dzoïné,,
DommeGrezelle,dzoïné,44.7692307,1.1405713
MontignacRouffignacSaintCernindeReilhac,dzoïné,45.0485331325259,0.963063691698636
MontignacLaChapelleAubareil,dzoïné,45.0138109,1.1816528
VillefranchedeLonchatSaintRemy,dzoïné,44.9456,0.187533
SaintCyprienAudrix,tzoïne,44.8800011,0.9468018
SarlatTamnies,tzoïne,44.9655881,1.1477252
SarlatSarlatbis,tzoïne,44.8889073481731,1.21673297538275
MontignacLeMoustier,tzoïne,44.9938305,1.0589872
BuissondeCadouinCussac,tzoïne,,
BugueMortemart,zoyné,,
LalindeLioracsurLouyre,zoyné,44.89651,0.64358
LalindePressignac,zoyné,44.895005,0.722815
LalindeSauvebœuf,zoyné,44.848877,0.778484
LalindeLalinde,zoyné,44.8371855,0.7387986
VillamblardClermontdeBeauregard,zoyné,44.95135,0.63874
VillamblardCampsegret,zoyné,44.9347296,0.5600646
LaForceFraisse,zoyné,44.929463,0.306782
EymetSainteInnocence,zoyné,44.7259019,0.4091296
IssigeacSaintCernindeLabarde,zoyné,44.76346,0.57203
BergeracCoursdePile,zoyné,44.8411135,0.5459787
BergeracSaintLaurentdesVignes,zoyné,44.8161224,0.4542574
SigoulesGageacetRouillac,zoyné,44.7976585,0.3498861
SigoulesLamonzieSaintMartin,zoyné,44.8433333,0.3847222
SigoulesSaussignac,zoyné,44.8014957,0.3264929
SigoulesMonbazillac,zoyné,44.7930913351638,0.490909088576188
