id,mot,latitude,longitude
SaintPardouxlaRiviereMontetChabroulet,dou,45.5931688086962,0.883753229809322
SaintPardouxlaRiviereSaintSaudLacoussiere,dou,45.5436482,0.8185259
NontronNontronneau,dou,45.5305322666617,0.607170073069288
NontronAbjatsurBandiat,dou,45.5858333,0.7588889
NontronNontronbis,dou,45.5336939690794,0.666296674576236
NontronTeyjat,dou,45.5858634963739,0.575638693790595
NontronSavignacdeNontron,dou,45.5419914,0.7224473
ChampagnacdeBelairChampagnacdeBelair,dou,45.3941667,0.7005556
ChampagnacdeBelairSaintPancrace,dou,45.4280332,0.6651169
ChampagnacdeBelairBoulouneix,dou,45.3834101959963,0.576686071154939
ChampagnacdeBelairChampagnacdeBelairter,dou,45.3952941369573,0.706707885661083
BussiereBadilPiegutPluviers,dou,45.623611,0.690277
BussiereBadilBusserolles,dou,45.6757519,0.6424738
BussiereBadilChampniersetReilhac,dou,45.6733333,0.7319444
JumilhacleGrandSaintJorydeChalais,dou,45.4989797,0.8997848
JumilhacleGrandJumilhacleGrand,dou,45.4936287,1.0619624
JumilhacleGrandLaCoquille,dou,45.5403684455938,0.97532803891927
LanouailleSarlande,dou,45.4517238620073,1.11419510834687
LanouaillePayzac,dou,45.4016667,1.2186111
LanouailleAngoisse,dou,45.4280556,1.1380556
PerigueuxCoulounieixChamiers,doue,45.1566728181789,0.689551659194694
PerigueuxTrelissac,doû,45.1970172,0.7835042
SavignaclesÉglisesNegrondes,doû,45.3452711,0.8646705
SavignaclesÉglisesMayac,doû,45.2808165707927,0.943949733987045
SaintPierredeChignacSainteMariedeChignac,doû,45.13086,0.82839
HautefortCherveixCubas,doû,45.2902646,1.1154522
BrantômeBrantôme,doû,45.3646685345461,0.646728929012852
ThenonThenon,doû,45.1378376616607,1.07047080856153
BugueFleurac,doû,,
BugueSaintCernindeReillac,doû,,
BugueSaintFelixdeReillac,doû,,
MontignacAubas,doû,45.08148,1.19009
MontignacAuriacduPerigord,doû,45.1058,1.135886
MontignacRouffignacSaintCernindeReilhac,doû,45.0485331325259,0.963063691698636
VillamblardDouville,doû,44.9989667,0.5857891
VillamblardSaintJeandEyraud,doû,,
MussidanSaintMicheldeDouble,doû,45.0791792,0.288958
NeuvicVallereuil,doû,45.0717467,0.5014427
NeuvicSaintAquilin,doû,45.1860003,0.4937783
SaintAulayeChenaud,doû,45.2182371,0.1022408
MontponMontpon,doû,45.0086062531858,0.159560307670862
MontponMontponbis,doû,45.0094556101233,0.162693259717957
MontponMenesterol,doû,45.0183714212748,0.15330290422927
MareuilLeguillacdeCercles,doû,45.3921759,0.514031
SaintPardouxlaRiviereChampsRomain,doû,45.5319444,0.7761111
BussiereBadilÉtouars,doû,45.60152,0.62771
JumilhacleGrandChalais,doû,45.5074252,0.926825
JumilhacleGrandSaintPaullaRoche,doû,45.4777414,0.9988587
LanouailleSaintCyrlesChampagnes,doû,45.3797222,1.2891667
PerigueuxChampcevinel,dous,45.2155556,0.7272222
SavignaclesÉglisesCornille,dous,45.2509931,0.7843361
SavignaclesÉglisesSaintPantalydAns,dous,,
SavignaclesÉglisesSaintVincentsurlIsle,dous,,
SavignaclesÉglisesSavignaclesÉglisesbis,dous,45.2823131778501,0.924533033858988
SavignaclesÉglisesSarliacsurlIsle,dous,,
ExcideuilPreyssacdExcideuil,dous,,
ExcideuilSaintMesmin,dous,45.352683,1.2052684
ExcideuilExcideuilbis,dous,45.3399614598898,1.04905941066804
SaintPierredeChignacSaintPierredeChignac,dous,45.1242,0.85664
SaintPierredeChignacEyliac,dous,45.16108,0.85396
SaintPierredeChignacSaintGeyrac,dous,45.08746,0.914
SaintPierredeChignacBlisetBorn,dous,45.1820511,0.9076695
SaintPierredeChignacAtur,dous,45.1413842,0.7486027
SaintPierredeChignacLaDouze,dous,45.0614511,0.8629891
VergtCreyssensacetPissot,dous,45.07884,0.66132
VergtVergt,dous,45.0256456434893,0.719162298705411
VergtChalagnac,dous,45.09176,0.67604
SaintAstierMontrem,dous,45.1342846,0.5899533
SaintAstierAnnesseetBeaulieu,dous,45.175,0.5919444
HautefortTourtoirac,dous,45.2716148,1.0583436
HautefortHautefortbis,dous,45.2672124818368,1.14692067737886
HautefortNailhac,dous,45.2266913,1.1531811
HautefortCoubjours,dous,45.2474468,1.2563294
BrantômeValeuil,dous,45.3328734,0.6170398
BrantômeLisle,dous,45.2787444,0.5481384
ThenonFossemagne,dous,45.12659,0.98506
