geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
2973362,region,joubé,2.16317,43.7817,oui,non,NA,NA,NA,
2992166,settlement,jouiné,3.87635,43.61093,oui,non,NA,NA,NA,
3029603,settlement,jouiné,5.27187,44.27647,oui,pe,non,oui,NA,
3029256,settlement,jouiné,5.37339,43.735,oui,pe,non,oui,NA,
3028382,settlement,jouiné,6.51283,43.84707,oui,pe,oui,non,NA,
2995469,settlement,jouiné,5.38107,43.29695,oui,pe,non,oui,NA,
2997936,settlement,jouine,3.31959,43.73178,oui,non,NA,NA,NA,
2997288,region,geouve,3.5,44.5,oui,non,NA,NA,NA,
3002465,settlement,djoueine,3.88523,45.04366,oui,oui,NA,NA,NA,
2985290,settlement,gieuiné,4.59918,44.735,oui,non,NA,NA,NA,
3037514,settlement,jieune,4.6707,45.23992,oui,non,NA,NA,NA,
2790869,settlement,r'culot,3.95229,50.45413,NA,NA,NA,NA,NA,
2990363,settlement,cadé,4.35788,43.83665,NA,NA,NA,NA,NA,
6431469,settlement,jhouiné,4.41972,44.0125,oui,pe,oui,non,NA,
3038224,settlement,jhouiné,4.08082,44.12489,oui,pe,oui,non,NA,
2995469,settlement,jouven,5.38107,43.29695,oui,non,NA,NA,NA,
2970749,region,pichoun,6.29145,43.4586,NA,NA,NA,NA,NA,
3035681,settlement,dzoüiné,4.80892,43.94834,oui,oui,NA,NA,NA,
2989819,settlement,jiouné,5.14052,44.36082,oui,non,NA,NA,NA,
2971053,settlement,jeunet,4.90956,44.9256,oui,pe,oui,oui,NA,
3021435,settlement,dzuèné,5.37033,44.7536,oui,oui,NA,NA,NA,
3029030,settlement,josne,3.23472,50.17596,oui,oui,NA,NA,NA,
3016702,settlement,jouvé,6.07868,44.55858,oui,pe,oui,non,NA,
2658864,settlement,dzouveno,7.0032,46.21826,oui,pe,oui,non,NA,
2660851,settlement,dzouvenou,6.8465,46.84876,oui,pe,oui,oui,NA,
2661017,settlement,tsgeuvène,7.11693,47.11342,oui,pe,oui,oui,NA,
2659601,settlement,derrai,6.91143,46.43301,NA,NA,NA,NA,NA,
2660646,settlement,djouânne,6.14569,46.20222,oui,pe,oui,oui,NA,
2974661,settlement,jouvë,6.35634,44.35042,oui,pe,non,oui,NA,
3036784,settlement,jone,2.78186,50.29301,oui,oui,NA,NA,NA,
2660463,settlement,dzôueno,7.08207,46.58338,oui,pe,oui,oui,NA,
2661513,settlement,geouvenne,7.24608,47.13713,oui,pe,oui,oui,NA,
2661035,settlement,djeuene,7.34453,47.36493,oui,pe,non,oui,NA,
2661092,settlement,geovenne,7.07236,47.17822,oui,pe,oui,oui,NA,
2659568,settlement,geüne,7.36951,47.27818,oui,pe,non,oui,NA,
