geonames,place_type,mot,longitude,latitude,lexique,phonetique,ind_geo,ind_transcr,valeur_lexique,commentaire
6431469,settlement,baila,4.41972,44.0125,non,NA,NA,NA,donner,
2995469,settlement,dounai,5.38107,43.29695,oui,oui,NA,NA,NA,
3029603,settlement,Beylaï,5.27187,44.27647,non,NA,NA,NA,donner,
2971053,settlement,bélâ,4.90956,44.9256,pe,oui,oui,non,,
3021435,settlement,bèilè,5.37033,44.7536,oui,oui,NA,NA,,
3029030,settlement,donném,3.23472,50.17596,oui,oui,NA,NA,,
2660851,settlement,baliîde,6.8465,46.84876,oui,oui,NA,NA,,
2660646,settlement,Bailli,6.14569,46.20222,oui,pe,oui,oui,NA,
2974661,settlement,Douna,6.35634,44.35042,oui,oui,NA,NA,NA,
2660463,settlement,baliîdè,7.08207,46.58338,oui,oui,NA,NA,NA,
2661513,settlement,baillie,7.24608,47.13713,oui,pe,non,oui,NA,
2661092,settlement,baillie,7.07236,47.17822,oui,pe,non,oui,NA,
2661035,settlement,baiyîe,7.34453,47.36493,oui,oui,NA,NA,NA,
3028486,settlement,doné,2.95815,50.49235,pe,pe,oui,non,NA,
