23-bour-1247	22	. 	Auchitôt 						le 	père 			dié 		ai 		sas 	valots 						: 								aiportez 						vias 	"sai
            "		premére 					robbe 										et 				vitez 				ly			, 					boutez 		ly 		eune 	baigue 				au 		det 			et 				das 	soulés 	dans 		"sas
            "	piés				.
24-poit-1241	22	. 	Dain 		queux 	tan 	qui 		le 	paîre 			dissé 		à 		soue 	valé 						:								apporteiz 		me 				tout houre 					sa 	pus 	belle 	chemisole 										é 				campeiz		lo 		li 	"sur soun échine
            "		, 					mettêiz 		li 		un’	annay 				à 	son 	dait 			et 				deux 	soulîe 	à 		souë 	pie				.
26-poit-1241	22	. 	Méz 						le 	père 			dicit 		à 		ses 	valet						: 								apportez 						bin vite 					la 	"pus
            "	belle 	robe 										et 				mettez 		la 			sus li		, 					mettez 		li 		ine 	bague 				dans 	e 	dét		, 	et 				déz 	soulé 	"dans
            "		ses 	pez				.
29-poit-1241	22	. 	Mais 						le 	père 			dicit 		à 		ses 	valet 						: 								Apportez 		li 				"be vite
            "	son 		premier 					vilement 										et 		l’	en 	vitez							, 					mettez 		li 		ine 	bague 				au 		det 			et 				dos 	"soûlez
            "	aux 			péds				.
30-poit-1241	22	. 	A ladon 						le 	pere 			dissit 		à 		ses 	valet 						: 								porte 						vilement 					"la
            "	pu 	belle 	robe 										et 				veytisse 				lou 			; 					metté 		ly 		une 	bague 				au 		dey 			et 				dey 	souly 	ey 			pi				.
31-limo-1246	22	. 	Aladon 						le 	père 			dicit 		à 		sé 	valet						: 								Porté 						vite 	la 		première					camisole 										et 				meté 				ly 	déçu		, 					bouté 		ly 		une 	bague 				ou 		det 			et 				dé 	souillé 	"ou
            "			piés				.
33-limo-1246	22	. 	Mais 						lou 	pay 			dicé 		à 		sous 	veleys 						: 								Pourtais 						vîté 					lou 	"pu
            "	braivé 	habit 		qu’	oou 	y 	aigé 	din 	ma 	meidjou	, 	et 				vîtissesn’					en moun fîs 		; 					metés 		li 		un 	aneou 				aôu 		dé 			et 				dôou	souliers	à 		"sous
            "	piés				.
34-lang-1309	22	. 	Endoun 						lou 	païré 			diguoit 		o 		sus 	doumestiqués 						: 								"Pourlas
            "						prountomen 					lo 	pus 	bello 	raoubo 										et 				vestissés	-	los	-	i			, 	et 				boutas	-	i 		un 	onel 				ol 		det 			"et
            "				déous 	souliés 	os 			pés				.
35-limo-1246	22	. 	Din 		queue 	tein 	qui 		lé 	paîré 			disset 		à 		soû 	valaîs						":
            "								apporlâ 		mé 				tout hoûré 					sa 	pûs 	beylo 	roubo 										é 				campâ 				lo 	sur li 		; 					metteiz	-	li 		"lun
            "	anneûe 				ou 		dey 			é 				deue 	souliés 	ou 			piés				.
36-limo-1246	22	. 	Mas 						lou 	paï 			disset 		à 		sous 	valeis						: 								Pourta 						vité 					"lou
            "		meillour 	hobit									, 					billas 		lo		ti			, 					boillas 		li 		un 	onneu 				à 	sous 	dcïset		, 					dos 	souliers 	"à
            "		sous 	pés				.
