18-fran-1270	29	.	Ma 								lu 							diji 							à 	son 	pere						: 					Voichi 								bin 			des 		annas 		qu’	i 			"veu
            "	sarve									, 		a 					y 	ne 	veus 	a 														giama 	manca 		à 							tôt 	les 	audres 	que 	veus 	m’	a 	ordonna		, 	a 		veus 							"ne
            "		m’		a 			giama 						ballie 					in 		chevril 		po 			me 			regala 	avos 	mes 	amis		.
20-fran-1270	29	.	Mâ 		ei 								râpondi 												et 	son 	pare 						: 					Depu 								lontan 								i 			vô 	sars 										"san
            "								v’s	eivoi 														jeimâ 	dasobéi																		, 	et 		poutian 			vô 				n’		m’		éte 			jeimâ 						beillie 	tan 	seulman 			in 	"pore
            "	kèbri 		pou 			m’			rajoui 	d’èven 	mâs 	eimis		.
21-fran-1270	29	.			Ai 						ly 		raipondai 																				: 					Velà 							déjà 	tant			d’		annais 		que 	je 			"vous
            "	sarve 											et 					y 	ne 	vous 	ai 															daisobeï 		en 	ren 		de 					ce 		que 	vous 	m’	aivai 	quémandai 			"et
            "		potant 			vous 				ne 		m’		aivet 			jemai 						baillé 					un 		cabri 		pour 			le 			maingeai 	aiveu 	"mei
            "	airains		.
22-fran-1270	29	.	Y 		e						li 		feset ste raponse 																				: 					voiqui 							déjait 	tant 			d’		"annas
            "		qu’	y 			vous 	sarvait 											et 					y 	ne 	vous 	a 														jaima 	désoubéi 		en 	ran 		de 					ç’		que 	vous 	m’	"êtes
            "	coumenda 			et 		ç’pendant			vous 				ne 		m’		êtes 			jamai 						baillie 					in 		chevreau 		pou 			me 			"raijouit
            "	aivoue 	mes 	aimis		.
23-bour-1247	29	.			O 								répondé 												ai 	son 	père 						: 					Voiqui 								ben 			das 		rannées 		qu’	"i
            "			vous 	sars 									; 																	y 		ait 	tozors 	fé 														s’		que 	vous 	m’	ez 	coumandé 			et				jaimas	vous 				ne 		m’		oz 									"donné
            "	tant 	seulement 			ein 		bigot 		poôre 			me 			regailer 	aivec 	mas 	raimis		.
24-poit-1241	29	.			Eux 								répondi 			et 		disset 							à 	son 	paire 						: 								on 	ïo 				tan 			d’		annadeis		qu’	i 			v’	serre									, 																	y 	n’me			seux 			jamey 	écarta 		an 	ré 	ni pre ré	de 					 			"votrais
            "			coumandemans		, 	é 		malgré quoqui 		jamey 	vou 				ne 		m’		avais 								tansrement 	bailla 					un 		chebrêy 		"pre
            "			m’			régala 	avec 	moue 	ami		.
26-poit-1241	29	.	Mez 								li 							dicit 							à 	son 	père						: 					Vela 							déjà 	tant 					années 		qu’		iseux 	à 	vout’	service 											et 					je 		vous 	ai 														trejou 	"été obéissant 
            "		en 							tout 	tcheu 		que 	vous 	m’	avez 	quémandé		, 	et 		pourtant 			vous 				ne 		m’		"avez
            "			jamez 						baillé 	tant-	seurement 			un 		bicot 		pre 			me 			divertit 	avec 	mes 	amis 		;
29-poit-1241	29	.	Mais 		il 								repounit 												à 	son 	père						: 								O 	l’iat 				si lontems 							que 	"je
            "			vous 	sers 										sans 								vous 	avoire 														jamais 	désobéit																		, 						vous 				ne 		m’		avez 									baillé 	tant           	encement			in 		chevras 		pre 			me 			réjouit 	avéques 	meis 	camarades		.
30-poit-1241	29	.	Me 		y 								reponguït 																				: 								Y 	a 				tan 			d’		annayes 		que 	je 			vous 	sere									",
            "	sans 								vous 	avouére 														jamais 	désobéit  		en 	queulle chouse       					que ce sie    										, 			prtan 			vou 				ne 		m’		avé 			jamais 						baillé 					un 		crabot 		pr 			me 			deyverti 	"avec
            "	ms 	amis		.
31-limo-1246	29	.			Li	, 							dan sa réponce,					dicit 							à 	son 	père 						: 					Ichi 								tant 			d’		annéyes 		que 	je 			vous 	serve 										sans 								vou 	ayére 														jamais 	désobéït																		, 	et 		pertan 			vous 						m’		"aves
            "			jamais 						donné 					un 		crâbot 		per 			me 			déverti 	dan 	mes 	amits		.
33-limo-1246	29	.			Oou 						li 							dicé 															: 					Veyqui 							bien 				de l’		annadès 		que 	yé 			"vous
            "	servé									, 		et 				djamay 		ne 	v’	ay 															deisobaï 		en 	ré 		de 				tout 	quo 		qué 	vous 	m’	avez 	coumanda		";
            "			cependan 			vous 				ne 		m’		avez 			djamay 						douna 					un 		tchabreou 		per 			me 			deyverti 	avequé 	"mous
            "	amis		.
34-lang-1309	29	.		Sus oco 									prenguoit lo paraoulo, 			et 		diguoit 							o 	soun 	"païré
            "						: 					Oqui 							detza 	tant 			d’		onnados 		que 				vouï 	servi									, 		et 						nou 	vous 	aï 														tzomaï 	désooubéit 		en 	"rés
            "		dé 					so 		qué 		m’	ovias 	coumondât		, 	et 		pourtan 							nou 		m’		ovès 			tzomaï 						donnât 					un 		"crobit
            "		per 			mé 			retzouï 	en 	mus 	omits		.
35-limo-1246	29	.			Hu 								repounguét 			é 		dissét 							à 	soun 	paîré 						: 					Quo 			y 	o 				"tan
            "			d’		annâda 		qu’	i 			vou 	servissé									, 							y 	n’		ais 														jamais 	manquê 		ein 	ré 		à 								"voutrais
            "			coumandamion		, 	é 		avaqué quo 			vou 				ne 		m’		avé 			jamais 						baillé 					eun 	quitté 	chabreue 		"Per
            "			mé			régala 	avaqué 	moue 	amis		.
36-limo-1246	29	.	Mas 				sé 	emoli 										disset 							a 	soun 	paï 						: 					veiki 								bien 			daû 		"temps
            "		qué 				vous 	servé									, 					que 			ne 	vous 	aï 														jomaï 	déoboi 		en 	ré 																et 					vous 				n’				ovez 			jomaï 	gû lou cœur	dé 	mé 			boillas 					un 	quité 	chobri 		per 	qué 		m’			ébandiguez 	coumo 	mous 	comorodas		.
37-limo-1246	29	.							Queuqui 				prengué la paraulô 			et 	ly 	disse															: 					Veiqui							déjà 	tant 			d’		annadâs 		que 	yau 			vous 	serve 											et 					yau 	né 	vous 	âs 														jamaï 	"désobaï
            "		en 	ré 		de 					cé 		qué 	vous 	m’	avés 	damanda 		; 			cépendent 			vous 				né 		m’		avés 			jamaï 						douna 					"un
            "		chavreü 		par 			mé 			divertir 	coumo 	mous 	amis		.
38-auve-1239	29	.			lau 								reipondé 												méi 	son 	payre 						: 								Y 	z’ô 				bian 			de 		tein 		que 	"iau
            "			vous 	serve									, 						tzamai 	ïau 	ne 	vous 	ei 															deizobei																		, 	et 		pourtan 		tjamai 	vous 				ne 		m’		avés 									"douna
            "		souliamen 			ein 		tzabri 		par 			me 			deigala 	embei 	mau z’	amis		.
39-lang-1309	29	.	Mais 		heil 								respondet 												o 	soun 	païre														l	yo 				tontes 			d’		onnades		que 	iou 			vous 	seive 											et 			que 			n’		ai 														ziomaï 	possat 													vostres 			ordres 			et 					vous 				"ne
            "		m’		ovez 			ziomaï 						dounat 					un 		cobril 		per 			me 			regola 	omme 	mous 	omis		.
40-lang-1309	29	.	Mès 		el 								respoundèt 												o 	soun 	pèro 						: 								Y 	o 				loung tens							que 				"bous
            "	serbisse 										sons 								bous 	obure 														chômai 	désoubéit																	, 				maigre ocouo 	, 						m’				obés 		pas 	chômaï 						"dounat
            "		soulomen 			un 		cobrit 		per 			me 			diberti 	ombe 	mous 	omics		.
41-lang-1309	29	.	Mes 			 			aquel,				per sua respounso			, 		diguec 							al 		païre						: 					Aqui 								"tan
            "			d’		annados 		que 	io 			bous 	serbi 																											me 			soui 			toujour 	counfourmat 		a 											bostris 			ordres 			et 				"jamaï
            "					nou 		m’		abes 									dounat 					un 	guiti 	crabic 		per 		lou 				menljea 	ambe 	mous 	amitchs		.
42-limo-1246	29	.	Mé 		et 								den sa respounse 					dissut 							à 	soun 	pay 						: 					Bachi 								"tant
            "			d’		annades 		que 				bous 	serbi									, 						jamay 		ne 	bous 	ey 															désobéït 																			et 									ne 		m’		abé 			jamey 						bail’at							crabot 		per 						èze ribote 	dan 	mous 	amies		.
43-gasc-1240	29	.	Mes 		et 								digouc 												a 	soun 	pay 						: 																				Que 				bous 	serbichi 					"dempuch
            "	tant 	d’	annados 	; 					qu’												ey 			toutjour 	heyt 						en 							tout 				bosto 			boulentat		, 	et 				james 					nou 		m’		"aouëls
            "									dat 					un 		crabot 		ent’		aou 				minja 	dampe 	mous 	amies		.
44-lang-1309	29	.	Més 		el 							en 	respounden 					diguec 							à 	soun 	paire 						: 			Garax 		aqui	",
            "	que 	i 	a 				tant 			d’		annados 		que 				bous 	serbissi									, 					que 	james 		né 																	nanquat 					d’	executa 							"bostris
            "			ordres 			é 		que 		james 					nou 		m’		abex 									dounat 					un 		crabit 		per 			me 			regala 	ambe 	"mous
            "	amix		.
45-lang-1309	29	.	Mes 									en 	respounen 	aquech 	hil 			disec 							à 	sou 	pay 						: 			"Bezets
            "																	que 	jou 			bous 	servichi 					despus 	tant 	d’	ans 	; 		et 				jamés 		non 		è 															transgressach 													"boste
            "			coumandoment 	; 		et 				jamés 					nou 		m’		aüets 									dach 					un 		cravot 		per 						esteja 	dam 	mous 	amies		.
46-lang-1309	29	.			El 						y 		fasquèc aquèsto rèspounso 																				: 			Garats 		aquy 							déjà 	"tant
            "			d’		aunados 		què 	yeou 			bous 	serbici									, 		et 					yeou 	nou 	bous 	èy 														jamay 	désoubeit 		èn 	rès 		de 					"so
            "		què 		m’	abets 	coumandat		, 	et 		cépandan 			bous 				nous 		m’		abets 			jamay 						dounat 					un 		"crabit
            "		per 			mè 			réjoui 	ambe 	mous 	amies		.
