37-limo-1246	19	. 		Yau 		né 					sey 		pus 		digné 				d’			étré 	appellâ 			votre 	fis	, 		"tratâs
            "										mé 					coumô 										un 	daus 				serviteurs 	que 	sount 	à 		votrés 		gagées				.
38-auve-1239	19	. 		lau 		ne 									mérite 	pas 			d’			être 	noumô 			votre 	garçon 	; 		treta 										"me
            "					coumo 										ein 	de 		votrei 		valei											.
39-lang-1309	19	. 		Iou 		ne 									mérité 	plus 			d’			estre 	opelat 			vostre 	fil	, 		trotam 										"me
            "					coum’										un 	de 		vostres 		doum’stics											.
40-lang-1309	19	. 		Iou 							sou 		pas 		digne 		aro 		d’			estre 	oppelat 			bounostre 	"fil
            "			trotaz 										me 		dounc 			coum’										un 	de 		bouostres 		doumestiques											.
41-lang-1309	19	. 				Nou 					soui 		plus 		dinne 				d’			estre 	appelat 			bostre 	fil	, 		trattas									-	me 					coumo 										un 	de 		bostres 		baylets											.
42-limo-1246	19	. 				Ne 					suy 		pa 	mey 	capable 				d’			este 	aperat 			boste 	gouyat 	":
            "		treté 										me 					coume 										un 	de 		bostez 		beyletz											.
43-gasc-1240	19	. 				Nou 					souy 		pas 	mes 	digne 				deou 				noum 	de 		boste 	hil 	":
            "		Traittas 										me 					coum’										un 	d’	eous 	bostes 		journaliés											.
44-lang-1309	19	. 				Nou 					soun 		pos 	pus 	digne 				d’			estr’	apelat 			bostre 	fill 	":
            "		trattamme 															coum’										un 	de 		bostris 		bailets											.
45-lang-1309	19	. 				Non 					soun 		pas 	mès 	dinne 				d’			este 	aperach 			boste 	hill	",
            "		traittai 										me 					coumo 										un 	de 		bostis 		baillets											.
46-lang-1309	19	. 	Et 	yeou 		nou 					soun 		pas 		dignè 				d’			estrè 	appèlat 			bostré 	"fils
            "	: 		tratats 										mè 					coumo 										un 	dès 		bostrés 		serbitous 	que 	soun 	a 		bostrés 		gatgés				.
47-lang-1309	19	. 	Ja 			nou 									mérité 	pas 			d’			estre 	appelât 			bostre 	fil	, 		tratax 										"me
            "					coumo 										un 	des 		bostris 		baillets											.
48-lang-1309	19	. 	Ja 			nou 									mérité 	pas 			d’			estre 	appellat 			bostre 	fil	, 		"tratax
            "										me 					coumo 										un 	des 		bostris 		baillets											.
49-cata-1291	19	. 		Jo 		no 					so 				digne 							ser 	anomenat 			vostre 	fill	, 		feu de 										mi 															"un
            "	dels 		mossos 		vostres											.
51-lang-1309	19	. 									Soun 		pas 	pus 	dignè 				d’			estre 	noummat 			bostré 	fil	",
            "		métetz									-	mé 			al reng 													de 		bostrés 		bailets											.
