29-poit-1241	16	. 																																								Là 							il 								desiroit 		benn 					pouvère 									se 	réfectionner 							des 		"écossas
            "						que 			les 	goret 	mangiant						, 	mais 				presoune 			ne 			ly 		en 			bail 																					.
30-poit-1241	16	. 																																								Iqui 							y 	l’			auré 			bien 	voulut 																sa 	refession 							des 		eycosses 						"que
            "			ley 	gorrets 	mangian						, 	mé 				digun 			ne 			ly 		en 			bail 																					.
31-limo-1246	16	. 								I 																																															peliquait 													d’				empli 	son 	ventre 					dé 		gousse 						que 			lé 	"porcs
            "	mangian						, 	mai 				digugn 								guan 			dounait																					.
32-limo-1246	16	. 								Eïtan 																																								ki 			aüou 				souhatavo 								per 	appeiza 	sa 	fam	, 	de 			"se
            "	rempii 							de 	là 	eicorsâ 						que 			lou 	por 	muishaven 						, 	é 				dégu 						l’		in 			dounavo																					.
33-limo-1246	16	. 								Y 									étant 	oôu	, 	y 	fugué 	réduit 	a 	uno 	si 	grando 	misério’																						qué 					oôuguê 	desira 																	remplir 	soun 	ventré 					de 	quo 							qué 	mendjavan 		lotis 	ports							, 	mais 				"degu
            "						li 		en 			dounevo																					.
34-lang-1309	16	. 								Et 																																oqui 											fués 	estât 		bien 	aïsé 	dé 																rempli 	soun 	ventré 					"dé
            "	los 	cossos 						qué 			lus 	téchous 	mintzavoun 						; 	main 				dégun 			n’					in 			dounavo																					.
35-limo-1246	16	. 																																								V’aguess’												étêt 		forr 	countein 													dé 	bien 			eimpli 	sa 	panço 					"dé
            "	lâ 	calofâ 	qué 								loûë 	por 	meingeavan						, 	ma 				nermo 			né 			li 		ain 			baillâvo																					.
36-limo-1246	16	. 								Et 																																au 														aurio 	vougu 																se 	répatas 							de 	las 	colofas 						que 			"lou
            "	pors 	minjovant						, 	et 				dégu 						li 					boillavo 	ré																				.
37-limo-1246	16	. 								Et 									étant 	àqui 		eü 	fugué 	réduit 	a 	unô 			miséro 	si 	"extrèmô
            "																				queue 					aqués 	souhaita 																	ramplis 	soun 	ventré 					de 	las 	gaussas 						qué 			lous 	"gagnoux
            "	mingeavent						, 	mas 				persounô 			ne 			ly 		en 			dounavô																					.
38-auve-1239	16	. 																																															Iau 								deigeravô 																se 	rempi 	le 	veintre 					de 	las 	callas 						"que
            "			caon 	coutsou 	mandzavon						. 	Ma 				narmo 			nien 								dounavô																					.
39-lang-1309	16	. 																																								Heil 											aurio 				bougut 																	rempli 	soun 	veintre 					de 	lai 	gatos 						"que
            "	mongiavon 		leis 	porcs							, 	et 				digun 			n’					in 			dounao																					.
40-lang-1309	16	. 																																								Oqui 							el 								desirabo 	de 						pouire 									se 	rossosia 							de 	les 	polailles						que 			lous 	pourcels 	monchabou 							més 				dégus 								fin 			dounabo 	pas																				.
41-lang-1309	16	. 																																																			Aurio 	agut 		gran 	gaoutch 													de 				rempli 	son 	bentre 					de 	"las
            "	cufelas 						que 			lous 	porcs 	mautjeaboun						, 	me 				digus 			non 				y 	en 			dounabo																					.
